h_m_s,PVG
2019-04-04 09:31:48,-24.314563476517005
2019-04-04 09:31:49,-22.744859113403162
2019-04-04 09:31:50,-21.276553800444855
2019-04-04 09:31:51,-19.903089690812116
2019-04-04 09:31:52,-18.618334021632823
2019-04-04 09:31:53,-17.41655143938226
2019-04-04 09:31:54,-16.292378142013305
2019-04-04 09:31:55,-15.240797716696648
2019-04-04 09:31:56,-14.257118560347825
2019-04-04 09:31:57,-13.336952777827173
2019-04-04 09:31:58,-12.476196459856707
2019-04-04 09:31:59,-11.671011249346606
2019-04-04 09:32:00,-10.917807111002418
2019-04-04 09:32:01,-10.21322622482775
2019-04-04 09:32:02,-3.100747960798466
2019-04-04 09:32:03,-2.9006484489063853
2019-04-04 09:32:04,-2.713464984854432
2019-04-04 09:32:05,-2.538363475549093
2019-04-04 09:32:06,-2.3745637402615096
2019-04-04 09:32:07,-2.2213360199258694
2019-04-04 09:32:08,-2.077997713204953
2019-04-04 09:32:09,-1.9439103244975324
2019-04-04 09:32:10,-1.8184766100431937
2019-04-04 09:32:11,4.751444444650916
2019-04-04 09:32:12,4.444856551080826
2019-04-04 09:32:13,-47.461636358539145
2019-04-04 09:32:14,-37.94681208748639
2019-04-04 09:32:15,-35.49834893389475
2019-04-04 09:32:16,-33.20788632826691
2019-04-04 09:32:17,-31.065226292850856
2019-04-04 09:32:18,-29.060829332747677
2019-04-04 09:32:19,-27.185771884595034
2019-04-04 09:32:20,-25.431706519061066
2019-04-04 09:32:21,-23.790824718413315
2019-04-04 09:32:22,-22.255822062092452
2019-04-04 09:32:23,-20.81986566411628
2019-04-04 09:32:24,-19.47656371631771
2019-04-04 09:32:25,-18.21993700092912
2019-04-04 09:32:26,-17.044392244909506
