h_m_s,XSP
2019-04-04 12:03:28,-4.228878670789108e-12
2019-04-04 12:03:29,-4.228878670789108e-12
2019-04-04 12:03:30,-4.228878670789108e-12
2019-04-04 12:03:31,-1.9971909309752336e-13
2019-04-04 12:03:32,-8.22173870264206e-14
2019-04-04 12:03:33,-4.3674521410054214e-14
2019-04-04 12:03:34,-2.5642803758306415e-14
2019-04-04 12:03:35,-2.5642803758306415e-14
2019-04-04 12:03:36,-2.5642803758306415e-14
2019-04-04 12:03:37,-2.5642803758306415e-14
2019-04-04 12:03:38,-2.5642803758306415e-14
2019-04-04 12:03:39,-6.2011037605005794e-15
2019-04-04 12:03:40,-6.2011037605005794e-15
2019-04-04 12:03:41,-2.2917050398948847e-15
2019-04-04 12:03:42,-2.2917050398948847e-15
2019-04-04 12:03:43,-2.2917050398948847e-15
2019-04-04 12:03:44,-2.2917050398948847e-15
2019-04-04 12:03:45,-2.2917050398948847e-15
2019-04-04 12:03:46,-2.2917050398948847e-15
2019-04-04 12:03:47,-2.2917050398948847e-15
2019-04-04 12:03:48,-2.2917050398948847e-15
2019-04-04 12:03:49,-2.2917050398948847e-15
2019-04-04 12:03:50,-2.2917050398948847e-15
2019-04-04 12:03:51,-6.13508078539703e-17
2019-04-04 12:03:52,-2.4940936637134582e-17
2019-04-04 12:03:53,-1.3194830343076082e-17
2019-04-04 12:03:54,-7.732393905304053e-18
2019-04-04 12:03:55,-4.770212837776531e-18
2019-04-04 12:03:56,-4.770212837776531e-18
2019-04-04 12:03:57,-4.770212837776531e-18
2019-04-04 12:03:58,-2.0804102852378617e-18
2019-04-04 12:03:59,-2.0804102852378617e-18
2019-04-04 12:04:00,-2.0804102852378617e-18
2019-04-04 12:04:01,-7.166224296581027e-19
2019-04-04 12:04:02,-3.6132704954303434e-19
2019-04-04 12:04:03,-2.0722008424512693e-19
2019-04-04 12:04:04,-2.0722008424512693e-19
2019-04-04 12:04:05,-2.0722008424512693e-19
2019-04-04 12:04:06,-2.0722008424512693e-19
2019-04-04 12:04:07,-2.0722008424512693e-19
2019-04-04 12:04:08,-4.888701683250589e-20
2019-04-04 12:04:09,-2.2779229433551692e-20
2019-04-04 12:04:10,-1.2647643848442108e-20
2019-04-04 12:04:11,-1.2647643848442108e-20
2019-04-04 12:04:12,-1.2647643848442108e-20
2019-04-04 12:04:13,-1.2647643848442108e-20
2019-04-04 12:04:14,-3.889592241133757e-21
2019-04-04 12:04:15,-3.889592241133757e-21
2019-04-04 12:04:16,-3.889592241133757e-21
2019-04-04 12:04:17,-3.889592241133757e-21
2019-04-04 12:04:18,-3.889592241133757e-21
2019-04-04 12:04:19,-3.889592241133757e-21
2019-04-04 12:04:20,-3.889592241133757e-21
2019-04-04 12:04:21,-3.889592241133757e-21
2019-04-04 12:04:22,-3.889592241133757e-21
2019-04-04 12:04:23,-3.889592241133757e-21
2019-04-04 12:04:24,-9.502796963879474e-23
2019-04-04 12:04:25,-9.502796963879474e-23
2019-04-04 12:04:26,-9.502796963879474e-23
2019-04-04 12:04:27,-9.502796963879474e-23
2019-04-04 12:04:28,-9.502796963879474e-23
2019-04-04 12:04:29,-1.1301787901450517e-23
2019-04-04 12:04:30,-4.86809619518031e-24
2019-04-04 12:04:31,-2.625875146153769e-24
2019-04-04 12:04:32,-2.625875146153769e-24
2019-04-04 12:04:33,-2.625875146153769e-24
2019-04-04 12:04:34,-1.0279375976456501e-24
2019-04-04 12:04:35,-5.373986119362852e-25
2019-04-04 12:04:36,-3.1320395015082323e-25
2019-04-04 12:04:37,-3.1320395015082323e-25
2019-04-04 12:04:38,-1.6155639752909217e-25
2019-04-04 12:04:39,-9.358686042392808e-26
2019-04-04 12:04:40,-9.358686042392808e-26
2019-04-04 12:04:41,-4.8076756341880604e-26
2019-04-04 12:04:42,-2.7799175947222375e-26
2019-04-04 12:04:43,-1.702689471965745e-26
2019-04-04 12:04:44,-1.702689471965745e-26
2019-04-04 12:04:45,-9.096131255691499e-27
2019-04-04 12:04:46,-5.354861373450401e-27
2019-04-04 12:04:47,-3.311694480971996e-27
2019-04-04 12:04:48,-2.106233097566382e-27
2019-04-04 12:04:49,-2.106233097566382e-27
2019-04-04 12:04:50,-2.106233097566382e-27
2019-04-04 12:04:51,-2.106233097566382e-27
2019-04-04 12:04:52,-2.106233097566382e-27
2019-04-04 12:04:53,-2.106233097566382e-27
2019-04-04 12:04:54,-2.106233097566382e-27
2019-04-04 12:04:55,-2.106233097566382e-27
2019-04-04 12:04:56,-2.0391536270450117e-28
2019-04-04 12:04:57,-2.0391536270450117e-28
2019-04-04 12:04:58,-6.725072935109557e-29
2019-04-04 12:04:59,-3.3536424413493126e-29
2019-04-04 12:05:00,-1.9141972014806032e-29
2019-04-04 12:05:01,-1.1644755805683208e-29
2019-04-04 12:05:02,-1.1644755805683208e-29
2019-04-04 12:05:03,-1.1644755805683208e-29
2019-04-04 12:05:04,-1.1644755805683208e-29
2019-04-04 12:05:05,-1.1644755805683208e-29
2019-04-04 12:05:06,-2.9300906220151576e-30
2019-04-04 12:05:07,-1.3804478678729744e-30
2019-04-04 12:05:08,-7.697773725452661e-31
2019-04-04 12:05:09,-4.627298054877434e-31
2019-04-04 12:05:10,-4.627298054877434e-31
2019-04-04 12:05:11,-2.438659080266089e-31
2019-04-04 12:05:12,-1.4265532849239828e-31
2019-04-04 12:05:13,-8.792108510168102e-32
2019-04-04 12:05:14,-5.580439486314656e-32
2019-04-04 12:05:15,-3.605086561796009e-32
2019-04-04 12:05:16,-3.605086561796009e-32
2019-04-04 12:05:17,-2.006783080252912e-32
2019-04-04 12:05:18,-2.006783080252912e-32
2019-04-04 12:05:19,-1.0046321444123891e-32
2019-04-04 12:05:20,-1.0046321444123891e-32
2019-04-04 12:05:21,-1.0046321444123891e-32
2019-04-04 12:05:22,-3.741070502796929e-33
2019-04-04 12:05:23,-3.741070502796929e-33
2019-04-04 12:05:24,-3.741070502796929e-33
2019-04-04 12:05:25,-3.741070502796929e-33
2019-04-04 12:05:26,-8.95568098342521e-34
2019-04-04 12:05:27,-4.183103780243045e-34
2019-04-04 12:05:28,-2.3247655344457203e-34
2019-04-04 12:05:29,-1.3951051475305427e-34
2019-04-04 12:05:30,-8.7202716451408e-35
2019-04-04 12:05:31,-5.581305863212353e-35
2019-04-04 12:05:32,-3.6243589939444195e-35
2019-04-04 12:05:33,-2.3751680758972377e-35
2019-04-04 12:05:34,-1.5657028319748346e-35
2019-04-04 12:05:35,-1.0360624809972595e-35
2019-04-04 12:05:36,-6.873108824431816e-36
2019-04-04 12:05:37,-6.873108824431816e-36
2019-04-04 12:05:38,-6.873108824431816e-36
2019-04-04 12:05:39,-3.2176462846913827e-36
2019-04-04 12:05:40,-1.7897937375120287e-36
2019-04-04 12:05:41,-1.0745412159975973e-36
2019-04-04 12:05:42,-6.718222660118982e-37
2019-04-04 12:05:43,-4.300561586631317e-37
2019-04-04 12:05:44,-2.792936522698648e-37
2019-04-04 12:05:45,-1.8304171014519863e-37
2019-04-04 12:05:46,-1.206651376026308e-37
2019-04-04 12:05:47,-7.984898270785839e-38
2019-04-04 12:05:48,-7.984898270785839e-38
2019-04-04 12:05:49,-4.5340805196158667e-38
2019-04-04 12:05:50,-4.5340805196158667e-38
2019-04-04 12:05:51,-4.5340805196158667e-38
2019-04-04 12:05:52,-4.5340805196158667e-38
2019-04-04 12:05:53,-4.5340805196158667e-38
2019-04-04 12:05:54,-4.5340805196158667e-38
2019-04-04 12:05:55,-4.5340805196158667e-38
2019-04-04 12:05:56,-5.408018505197595e-39
2019-04-04 12:05:57,-5.408018505197595e-39
2019-04-04 12:05:58,-5.408018505197595e-39
2019-04-04 12:05:59,-5.408018505197595e-39
2019-04-04 12:06:00,-9.907207301527489e-40
2019-04-04 12:06:01,-4.452261550914959e-40
2019-04-04 12:06:02,-2.438385311141795e-40
2019-04-04 12:06:03,-2.438385311141795e-40
2019-04-04 12:06:04,-1.2084766073315445e-40
2019-04-04 12:06:05,-6.879665515025623e-41
2019-04-04 12:06:06,-4.179439269986853e-41
2019-04-04 12:06:07,-2.6306616078176337e-41
2019-04-04 12:06:08,-1.6908130109798298e-41
2019-04-04 12:06:09,-1.100861026357129e-41
2019-04-04 12:06:10,-1.100861026357129e-41
2019-04-04 12:06:11,-6.167076660502911e-42
2019-04-04 12:06:12,-3.7157941743595025e-42
2019-04-04 12:06:13,-2.32787348849156e-42
2019-04-04 12:06:14,-1.4919598708230785e-42
2019-04-04 12:06:15,-9.696655907316258e-43
2019-04-04 12:06:16,-6.358008827880238e-43
2019-04-04 12:06:17,-6.358008827880238e-43
2019-04-04 12:06:18,-6.358008827880238e-43
2019-04-04 12:06:19,-2.9407407655750946e-43
2019-04-04 12:06:20,-1.6281261563334541e-43
2019-04-04 12:06:21,-9.751987604935364e-44
2019-04-04 12:06:22,-6.08911258219542e-44
2019-04-04 12:06:23,-3.894777741817703e-44
2019-04-04 12:06:24,-2.5281647898437824e-44
2019-04-04 12:06:25,-1.6563736839596726e-44
2019-04-04 12:06:26,-1.0916965066680809e-44
2019-04-04 12:06:27,-7.223236338996595e-45
2019-04-04 12:06:28,-4.791465296562299e-45
2019-04-04 12:06:29,-3.183720652674196e-45
2019-04-04 12:06:30,-2.1177999175267105e-45
2019-04-04 12:06:31,-1.409794015998731e-45
2019-04-04 12:06:32,-9.389437752201722e-46
2019-04-04 12:06:33,-6.2555478092931084e-46
2019-04-04 12:06:34,-4.168555013179881e-46
2019-04-04 12:06:35,-2.778232727081124e-46
2019-04-04 12:06:36,-1.8517980132439695e-46
2019-04-04 12:06:37,-1.2343733317697094e-46
2019-04-04 12:06:38,-8.228450464817284e-47
2019-04-04 12:06:39,-5.485320318929967e-47
2019-04-04 12:06:40,-5.485320318929967e-47
2019-04-04 12:06:41,-5.485320318929967e-47
2019-04-04 12:06:42,-2.5811711072086976e-47
2019-04-04 12:06:43,-1.4386513055892296e-47
2019-04-04 12:06:44,-8.645978377684986e-48
2019-04-04 12:06:45,-5.4086957723366136e-48
2019-04-04 12:06:46,-3.463472458143923e-48
2019-04-04 12:06:47,-2.249780781306575e-48
2019-04-04 12:06:48,-1.4746478171204355e-48
2019-04-04 12:06:49,-9.722061658655717e-49
2019-04-04 12:06:50,-6.433851264535496e-49
2019-04-04 12:06:51,-6.433851264535496e-49
2019-04-04 12:06:52,-3.653524760205703e-49
2019-04-04 12:06:53,-2.216661540009361e-49
2019-04-04 12:06:54,-2.216661540009361e-49
2019-04-04 12:06:55,-2.216661540009361e-49
2019-04-04 12:06:56,-9.524505175923188e-50
2019-04-04 12:06:57,-9.524505175923188e-50
2019-04-04 12:06:58,-9.524505175923188e-50
2019-04-04 12:06:59,-9.524505175923188e-50
2019-04-04 12:07:00,-2.450187565431381e-50
2019-04-04 12:07:01,-2.450187565431381e-50
2019-04-04 12:07:02,1.2512687624128906
2019-04-04 12:07:03,0.6454991089845755
2019-04-04 12:07:04,0.37394517329337496
2019-04-04 12:07:05,0.22926899242916032
2019-04-04 12:07:06,0.22926899242916032
2019-04-04 12:07:07,0.12257059240137742
2019-04-04 12:07:08,0.12257059240137742
2019-04-04 12:07:09,0.12257059240137742
2019-04-04 12:07:10,0.12257059240137742
2019-04-04 12:07:11,0.036522684682972054
2019-04-04 12:07:12,0.036522684682972054
2019-04-04 12:07:13,0.036522684682972054
2019-04-04 12:07:14,0.010839707426120282
2019-04-04 12:07:15,0.010839707426120282
2019-04-04 12:07:16,0.010839707426120282
2019-04-04 12:07:17,0.0032133639163780267
2019-04-04 12:07:18,0.0015634263901710128
2019-04-04 12:07:19,0.0015634263901710128
2019-04-04 12:07:20,0.0015634263901710128
2019-04-04 12:07:21,0.0015634263901710128
2019-04-04 12:07:22,0.0015634263901710128
2019-04-04 12:07:23,0.0015634263901710128
2019-04-04 12:07:24,0.0015634263901710128
2019-04-04 12:07:25,0.0015634263901710128
2019-04-04 12:07:26,0.0015634263901710128
2019-04-04 12:07:27,0.0015634263901710128
2019-04-04 12:07:28,5.10777481581266e-05
2019-04-04 12:07:29,5.10777481581266e-05
2019-04-04 12:07:30,1.607992533521744e-05
2019-04-04 12:07:31,7.929813962876882e-06
2019-04-04 12:07:32,4.504871938643744e-06
2019-04-04 12:07:33,2.7337702484347855e-06
2019-04-04 12:07:34,2.7337702484347855e-06
2019-04-04 12:07:35,2.7337702484347855e-06
2019-04-04 12:07:36,2.7337702484347855e-06
2019-04-04 12:07:37,2.7337702484347855e-06
2019-04-04 12:07:38,6.859287383249388e-07
2019-04-04 12:07:39,3.2299734313544996e-07
2019-04-04 12:07:40,1.8007681742280447e-07
2019-04-04 12:07:41,1.8007681742280447e-07
2019-04-04 12:07:42,1.8007681742280447e-07
2019-04-04 12:07:43,1.8007681742280447e-07
2019-04-04 12:07:44,1.8007681742280447e-07
2019-04-04 12:07:45,1.8007681742280447e-07
2019-04-04 12:07:46,2.9813316676385625e-08
2019-04-04 12:07:47,1.3240584495007977e-08
2019-04-04 12:07:48,7.2201994168777884e-09
2019-04-04 12:07:49,7.2201994168777884e-09
2019-04-04 12:07:50,7.2201994168777884e-09
2019-04-04 12:07:51,7.2201994168777884e-09
2019-04-04 12:07:52,7.2201994168777884e-09
2019-04-04 12:07:53,7.2201994168777884e-09
2019-04-04 12:07:54,1.168463837595844e-09
2019-04-04 12:07:55,1.168463837595844e-09
2019-04-04 12:07:56,4.0489043840578073e-10
2019-04-04 12:07:57,4.0489043840578073e-10
2019-04-04 12:07:58,4.0489043840578073e-10
2019-04-04 12:07:59,4.0489043840578073e-10
2019-04-04 12:08:00,9.397988567372165e-11
2019-04-04 12:08:01,4.3674356823595906e-11
2019-04-04 12:08:02,2.422423969979327e-11
2019-04-04 12:08:03,1.4522784868853195e-11
2019-04-04 12:08:04,9.072611760303888e-12
2019-04-04 12:08:05,5.804887227604058e-12
2019-04-04 12:08:06,3.768766266251939e-12
2019-04-04 12:08:07,3.768766266251939e-12
2019-04-04 12:08:08,2.1063862338270456e-12
2019-04-04 12:08:09,2.1063862338270456e-12
2019-04-04 12:08:10,1.057177933761046e-12
2019-04-04 12:08:11,6.050828331921486e-13
2019-04-04 12:08:12,3.6862365664295945e-13
2019-04-04 12:08:13,3.6862365664295945e-13
2019-04-04 12:08:14,3.6862365664295945e-13
2019-04-04 12:08:15,3.6862365664295945e-13
2019-04-04 12:08:16,3.6862365664295945e-13
2019-04-04 12:08:17,3.6862365664295945e-13
2019-04-04 12:08:18,3.6862365664295945e-13
2019-04-04 12:08:19,3.6862365664295945e-13
2019-04-04 12:08:20,3.6862365664295945e-13
2019-04-04 12:08:21,3.6862365664295945e-13
2019-04-04 12:08:22,3.6862365664295945e-13
2019-04-04 12:08:23,3.6862365664295945e-13
2019-04-04 12:08:24,3.6862365664295945e-13
2019-04-04 12:08:25,3.6862365664295945e-13
2019-04-04 12:08:26,3.6862365664295945e-13
2019-04-04 12:08:27,3.6862365664295945e-13
2019-04-04 12:08:28,-2.988357905391738
2019-04-04 12:08:29,-1.1981329175124855
2019-04-04 12:08:30,-1.1981329175124855
2019-04-04 12:08:31,-0.5102999089526784
2019-04-04 12:08:32,-0.2741880515302595
2019-04-04 12:08:33,-0.2741880515302595
2019-04-04 12:08:34,-0.13433625307019748
2019-04-04 12:08:35,-0.07610744260008123
2019-04-04 12:08:36,-0.046120593513375954
