h_m_s,HSD
2019-04-04 13:40:50,-1.2429116535215252e-160
2019-04-04 13:40:51,-1.2429116535215252e-160
2019-04-04 13:40:52,-1.2429116535215252e-160
2019-04-04 13:40:53,-1.2429116535215252e-160
2019-04-04 13:40:54,-3.914517263162154e-161
2019-04-04 13:40:55,-1.930636142517003e-161
2019-04-04 13:40:56,-1.930636142517003e-161
2019-04-04 13:40:57,-1.930636142517003e-161
2019-04-04 13:40:58,-1.930636142517003e-161
2019-04-04 13:40:59,-1.930636142517003e-161
2019-04-04 13:41:00,-1.930636142517003e-161
2019-04-04 13:41:01,-1.930636142517003e-161
2019-04-04 13:41:02,-1.998759960714252e-162
2019-04-04 13:41:03,-8.524561214479499e-163
2019-04-04 13:41:04,-4.582453768962458e-163
2019-04-04 13:41:05,-4.582453768962458e-163
2019-04-04 13:41:06,-2.2457587257387352e-163
2019-04-04 13:41:07,-2.2457587257387352e-163
2019-04-04 13:41:08,-2.2457587257387352e-163
2019-04-04 13:41:09,-2.2457587257387352e-163
2019-04-04 13:41:10,-2.2457587257387352e-163
2019-04-04 13:41:11,-2.2457587257387352e-163
2019-04-04 13:41:12,-2.2457587257387352e-163
2019-04-04 13:41:13,-2.2457587257387352e-163
2019-04-04 13:41:14,-2.2457587257387352e-163
2019-04-04 13:41:15,-2.2457587257387352e-163
2019-04-04 13:41:16,-7.38622585341677e-165
2019-04-04 13:41:17,-3.013967372827086e-165
2019-04-04 13:41:18,-1.5964475180263637e-165
2019-04-04 13:41:19,-1.5964475180263637e-165
2019-04-04 13:41:20,-1.5964475180263637e-165
2019-04-04 13:41:21,-1.5964475180263637e-165
2019-04-04 13:41:22,-4.721849272669583e-166
2019-04-04 13:41:23,-4.721849272669583e-166
2019-04-04 13:41:24,-1.8269787911446573e-166
2019-04-04 13:41:25,-9.517399560079021e-167
2019-04-04 13:41:26,-9.517399560079021e-167
2019-04-04 13:41:27,-4.5803129610869754e-167
2019-04-04 13:41:28,-4.5803129610869754e-167
2019-04-04 13:41:29,-4.5803129610869754e-167
2019-04-04 13:41:30,-4.5803129610869754e-167
2019-04-04 13:41:31,-4.5803129610869754e-167
2019-04-04 13:41:32,-4.5803129610869754e-167
2019-04-04 13:41:33,-4.5803129610869754e-167
2019-04-04 13:41:34,-4.5803129610869754e-167
2019-04-04 13:41:35,-4.5803129610869754e-167
2019-04-04 13:41:36,-4.5803129610869754e-167
2019-04-04 13:41:37,-4.5803129610869754e-167
2019-04-04 13:41:38,-4.5803129610869754e-167
2019-04-04 13:41:39,-4.5803129610869754e-167
2019-04-04 13:41:40,-4.4923724433917634e-169
2019-04-04 13:41:41,-4.4923724433917634e-169
2019-04-04 13:41:42,-4.4923724433917634e-169
2019-04-04 13:41:43,-4.4923724433917634e-169
2019-04-04 13:41:44,-4.4923724433917634e-169
2019-04-04 13:41:45,-4.4923724433917634e-169
2019-04-04 13:41:46,-4.4923724433917634e-169
2019-04-04 13:41:47,-4.4923724433917634e-169
