h_m_s,SMU.UN
2019-04-04 15:18:32,9.713871499237725e-13
2019-04-04 15:18:33,3.237957166412575e-13
2019-04-04 15:18:34,1.0793190554708583e-13
2019-04-04 15:18:35,3.597730184902861e-14
2019-04-04 15:18:36,1.1992433949676203e-14
2019-04-04 15:18:37,3.9974779832254006e-15
2019-04-04 15:18:38,1.3324926610751336e-15
2019-04-04 15:18:39,4.441642203583779e-16
2019-04-04 15:18:40,1.480547401194593e-16
2019-04-04 15:18:41,4.9351580039819766e-17
2019-04-04 15:18:42,1.6450526679939922e-17
2019-04-04 15:18:43,5.4835088933133075e-18
2019-04-04 15:18:44,1.8278362977711026e-18
2019-04-04 15:18:45,6.0927876592370085e-19
2019-04-04 15:18:46,2.0309292197456696e-19
2019-04-04 15:18:47,6.769764065818899e-20
2019-04-04 15:18:48,2.256588021939633e-20
2019-04-04 15:18:49,7.52196007313211e-21
2019-04-04 15:18:50,2.50732002437737e-21
2019-04-04 15:18:51,8.357733414591233e-22
2019-04-04 15:18:52,2.785911138197078e-22
2019-04-04 15:18:53,9.286370460656926e-23
2019-04-04 15:18:54,3.0954568202189753e-23
2019-04-04 15:18:55,1.0318189400729918e-23
2019-04-04 15:18:56,3.439396466909973e-24
2019-04-04 15:18:57,1.1464654889699909e-24
2019-04-04 15:18:58,3.8215516298999696e-25
2019-04-04 15:18:59,1.27385054329999e-25
2019-04-04 15:19:00,4.246168477666633e-26
2019-04-04 15:19:01,1.4153894925555444e-26
2019-04-04 15:19:02,4.717964975185148e-27
2019-04-04 15:19:03,1.5726549917283827e-27
2019-04-04 15:19:04,5.242183305761276e-28
2019-04-04 15:19:05,1.7473944352537585e-28
2019-04-04 15:19:06,5.824648117512528e-29
2019-04-04 15:19:07,1.941549372504176e-29
2019-04-04 15:19:08,6.471831241680588e-30
2019-04-04 15:19:09,2.1572770805601957e-30
2019-04-04 15:19:10,7.190923601867319e-31
2019-04-04 15:19:11,2.396974533955773e-31
2019-04-04 15:19:12,7.98991511318591e-32
2019-04-04 15:19:13,2.663305037728637e-32
2019-04-04 15:19:14,8.877683459095455e-33
2019-04-04 15:19:15,2.959227819698485e-33
2019-04-04 15:19:16,9.864092732328284e-34
2019-04-04 15:19:17,3.288030910776095e-34
2019-04-04 15:19:18,1.0960103035920315e-34
2019-04-04 15:19:19,3.653367678640105e-35
2019-04-04 15:19:20,1.2177892262133683e-35
2019-04-04 15:19:21,4.059297420711228e-36
2019-04-04 15:19:22,1.3530991402370759e-36
2019-04-04 15:19:23,4.510330467456919e-37
2019-04-04 15:19:24,1.5034434891523064e-37
2019-04-04 15:19:25,5.011478297174355e-38
2019-04-04 15:19:26,1.670492765724785e-38
2019-04-04 15:19:27,5.568309219082616e-39
2019-04-04 15:19:28,1.8561030730275388e-39
2019-04-04 15:19:29,6.18701024342513e-40
2019-04-04 15:19:30,2.0623367478083766e-40
2019-04-04 15:19:31,6.874455826027921e-41
2019-04-04 15:19:32,2.2914852753426406e-41
2019-04-04 15:19:33,7.638284251142135e-42
2019-04-04 15:19:34,2.5460947503807115e-42
2019-04-04 15:19:35,8.486982501269038e-43
2019-04-04 15:19:36,2.828994167089679e-43
2019-04-04 15:19:37,9.429980556965598e-44
2019-04-04 15:19:38,3.143326852321866e-44
2019-04-04 15:19:39,1.047775617440622e-44
2019-04-04 15:19:40,3.49258539146874e-45
2019-04-04 15:19:41,1.16419513048958e-45
2019-04-04 15:19:42,3.880650434965267e-46
2019-04-04 15:19:43,1.2935501449884224e-46
2019-04-04 15:19:44,4.3118338166280747e-47
2019-04-04 15:19:45,-2866.6666666666665
2019-04-04 15:19:46,-955.5555555555555
2019-04-04 15:19:47,-318.51851851851853
2019-04-04 15:19:48,-106.17283950617285
2019-04-04 15:19:49,-35.390946502057616
2019-04-04 15:19:50,-11.796982167352539
2019-04-04 15:19:51,-3.932327389117513
2019-04-04 15:19:52,-1.3107757963725042
2019-04-04 15:19:53,-0.4369252654575014
2019-04-04 15:19:54,-0.14564175515250047
2019-04-04 15:19:55,-0.048547251717500156
2019-04-04 15:19:56,-0.01618241723916672
2019-04-04 15:19:57,-0.005394139079722239
2019-04-04 15:19:58,-0.001798046359907413
2019-04-04 15:19:59,-0.0005993487866358043
2019-04-04 15:20:00,-0.00019978292887860144
2019-04-04 15:20:01,-6.659430962620049e-05
2019-04-04 15:20:02,-2.2198103208733494e-05
2019-04-04 15:20:03,-7.399367736244498e-06
2019-04-04 15:20:04,-2.4664559120814996e-06
2019-04-04 15:20:05,-8.221519706938332e-07
2019-04-04 15:20:06,-2.740506568979444e-07
2019-04-04 15:20:07,-9.135021896598146e-08
2019-04-04 15:20:08,-3.0450072988660484e-08
2019-04-04 15:20:09,-1.0150024329553495e-08
2019-04-04 15:20:10,-3.3833414431844984e-09
2019-04-04 15:20:11,-1.1277804810614995e-09
2019-04-04 15:20:12,-3.7592682702049983e-10
2019-04-04 15:20:13,-1.253089423401666e-10
2019-04-04 15:20:14,-4.17696474467222e-11
2019-04-04 15:20:15,-1.3923215815574068e-11
2019-04-04 15:20:16,-4.6410719385246894e-12
2019-04-04 15:20:17,-1.5470239795082297e-12
2019-04-04 15:20:18,-5.156746598360766e-13
2019-04-04 15:20:19,-1.718915532786922e-13
2019-04-04 15:20:20,-5.729718442623073e-14
2019-04-04 15:20:21,-1.9099061475410244e-14
2019-04-04 15:20:22,-6.366353825136748e-15
2019-04-04 15:20:23,-2.1221179417122493e-15
2019-04-04 15:20:24,-7.073726472374164e-16
2019-04-04 15:20:25,-2.3579088241247216e-16
2019-04-04 15:20:26,-7.859696080415739e-17
2019-04-04 15:20:27,-2.619898693471913e-17
2019-04-04 15:20:28,-8.732995644906377e-18
2019-04-04 15:20:29,-2.9109985483021255e-18
2019-04-04 15:20:30,-9.703328494340418e-19
2019-04-04 15:20:31,-3.2344428314468058e-19
2019-04-04 15:20:32,-1.0781476104822686e-19
2019-04-04 15:20:33,-3.5938253682742285e-20
2019-04-04 15:20:34,-1.1979417894247428e-20
2019-04-04 15:20:35,-3.993139298082476e-21
2019-04-04 15:20:36,-1.3310464326941585e-21
2019-04-04 15:20:37,-4.436821442313861e-22
2019-04-04 15:20:38,-1.478940480771287e-22
