h_m_s,HQU
2019-04-04 11:58:32,-6.878792933819946e-24
2019-04-04 11:58:33,-2.2929309779399817e-24
2019-04-04 11:58:34,-7.643103259799939e-25
2019-04-04 11:58:35,-2.54770108659998e-25
2019-04-04 11:58:36,-8.492336955333266e-26
2019-04-04 11:58:37,-2.830778985111089e-26
2019-04-04 11:58:38,-9.435929950370296e-27
2019-04-04 11:58:39,-3.1453099834567655e-27
2019-04-04 11:58:40,-1.0484366611522552e-27
2019-04-04 11:58:41,400.0
2019-04-04 11:58:42,133.33333333333334
2019-04-04 11:58:43,44.44444444444445
2019-04-04 11:58:44,14.814814814814817
2019-04-04 11:58:45,4.938271604938272
2019-04-04 11:58:46,1.6460905349794241
2019-04-04 11:58:47,0.5486968449931414
2019-04-04 11:58:48,0.18289894833104714
2019-04-04 11:58:49,0.06096631611034905
2019-04-04 11:58:50,0.02032210537011635
2019-04-04 11:58:51,0.006774035123372117
2019-04-04 11:58:52,0.0022580117077907057
2019-04-04 11:58:53,0.0007526705692635686
2019-04-04 11:58:54,0.00025089018975452284
2019-04-04 11:58:55,8.363006325150761e-05
2019-04-04 11:58:56,2.7876687750502536e-05
2019-04-04 11:58:57,9.292229250167512e-06
2019-04-04 11:58:58,3.097409750055837e-06
2019-04-04 11:58:59,1.032469916685279e-06
2019-04-04 11:59:00,3.4415663889509303e-07
2019-04-04 11:59:01,1.1471887963169767e-07
2019-04-04 11:59:02,3.823962654389922e-08
2019-04-04 11:59:03,1.274654218129974e-08
2019-04-04 11:59:04,4.24884739376658e-09
2019-04-04 11:59:05,1.4162824645888601e-09
2019-04-04 11:59:06,4.720941548629534e-10
2019-04-04 11:59:07,1.5736471828765114e-10
2019-04-04 11:59:08,5.245490609588371e-11
2019-04-04 11:59:09,1.7484968698627904e-11
2019-04-04 11:59:10,5.828322899542635e-12
2019-04-04 11:59:11,1.942774299847545e-12
2019-04-04 11:59:12,6.47591433282515e-13
2019-04-04 11:59:13,2.1586381109417167e-13
2019-04-04 11:59:14,7.195460369805722e-14
2019-04-04 11:59:15,2.3984867899352405e-14
2019-04-04 11:59:16,7.994955966450801e-15
2019-04-04 11:59:17,2.664985322150267e-15
2019-04-04 11:59:18,8.883284407167557e-16
2019-04-04 11:59:19,2.961094802389186e-16
2019-04-04 11:59:20,9.870316007963953e-17
2019-04-04 11:59:21,3.2901053359879844e-17
2019-04-04 11:59:22,1.0967017786626615e-17
2019-04-04 11:59:23,3.655672595542205e-18
2019-04-04 11:59:24,1.2185575318474017e-18
2019-04-04 11:59:25,4.061858439491339e-19
2019-04-04 11:59:26,1.3539528131637798e-19
2019-04-04 11:59:27,4.513176043879266e-20
2019-04-04 11:59:28,1.504392014626422e-20
2019-04-04 11:59:29,5.01464004875474e-21
2019-04-04 11:59:30,1.6715466829182466e-21
2019-04-04 11:59:31,5.571822276394156e-22
2019-04-04 11:59:32,1.8572740921313852e-22
2019-04-04 11:59:33,6.190913640437951e-23
2019-04-04 11:59:34,2.0636378801459835e-23
2019-04-04 11:59:35,6.878792933819946e-24
2019-04-04 11:59:36,2.2929309779399817e-24
2019-04-04 11:59:37,7.643103259799939e-25
2019-04-04 11:59:38,2.54770108659998e-25
2019-04-04 11:59:39,8.492336955333266e-26
2019-04-04 11:59:40,2.830778985111089e-26
2019-04-04 11:59:41,9.435929950370296e-27
2019-04-04 11:59:42,3.1453099834567655e-27
2019-04-04 11:59:43,1.0484366611522552e-27
2019-04-04 11:59:44,3.494788870507517e-28
2019-04-04 11:59:45,1.1649296235025057e-28
2019-04-04 11:59:46,3.883098745008352e-29
2019-04-04 11:59:47,133.33333333333334
2019-04-04 11:59:48,44.44444444444445
2019-04-04 11:59:49,14.814814814814817
2019-04-04 11:59:50,4.938271604938272
2019-04-04 11:59:51,1.6460905349794241
2019-04-04 11:59:52,0.5486968449931414
2019-04-04 11:59:53,0.18289894833104714
2019-04-04 11:59:54,0.06096631611034905
2019-04-04 11:59:55,0.02032210537011635
2019-04-04 11:59:56,0.006774035123372117
2019-04-04 11:59:57,0.0022580117077907057
2019-04-04 11:59:58,0.0007526705692635686
2019-04-04 11:59:59,0.00025089018975452284
2019-04-04 12:00:00,8.363006325150761e-05
2019-04-04 12:00:01,2.7876687750502536e-05
2019-04-04 12:00:02,9.292229250167512e-06
2019-04-04 12:00:03,3.097409750055837e-06
2019-04-04 12:00:04,1.032469916685279e-06
2019-04-04 12:00:05,3.4415663889509303e-07
2019-04-04 12:00:06,1.1471887963169767e-07
2019-04-04 12:00:07,3.823962654389922e-08
2019-04-04 12:00:08,1.274654218129974e-08
2019-04-04 12:00:09,4.24884739376658e-09
2019-04-04 12:00:10,1.4162824645888601e-09
2019-04-04 12:00:11,4.720941548629534e-10
2019-04-04 12:00:12,1.5736471828765114e-10
2019-04-04 12:00:13,5.245490609588371e-11
2019-04-04 12:00:14,1.7484968698627904e-11
2019-04-04 12:00:15,5.828322899542635e-12
2019-04-04 12:00:16,1.942774299847545e-12
2019-04-04 12:00:17,6.47591433282515e-13
2019-04-04 12:00:18,2.1586381109417167e-13
2019-04-04 12:00:19,7.195460369805722e-14
2019-04-04 12:00:20,2.3984867899352405e-14
2019-04-04 12:00:21,7.994955966450801e-15
2019-04-04 12:00:22,2.664985322150267e-15
2019-04-04 12:00:23,8.883284407167557e-16
2019-04-04 12:00:24,2.961094802389186e-16
2019-04-04 12:00:25,9.870316007963953e-17
2019-04-04 12:00:26,3.2901053359879844e-17
2019-04-04 12:00:27,1.0967017786626615e-17
2019-04-04 12:00:28,3.655672595542205e-18
2019-04-04 12:00:29,1.2185575318474017e-18
2019-04-04 12:00:30,4.061858439491339e-19
2019-04-04 12:00:31,1.3539528131637798e-19
2019-04-04 12:00:32,4.513176043879266e-20
2019-04-04 12:00:33,1.504392014626422e-20
2019-04-04 12:00:34,5.01464004875474e-21
2019-04-04 12:00:35,1.6715466829182466e-21
2019-04-04 12:00:36,5.571822276394156e-22
2019-04-04 12:00:37,1.8572740921313852e-22
2019-04-04 12:00:38,6.190913640437951e-23
2019-04-04 12:00:39,2.0636378801459835e-23
2019-04-04 12:00:40,6.878792933819946e-24
2019-04-04 12:00:41,2.2929309779399817e-24
2019-04-04 12:00:42,7.643103259799939e-25
2019-04-04 12:00:43,2.54770108659998e-25
2019-04-04 12:00:44,8.492336955333266e-26
2019-04-04 12:00:45,2.830778985111089e-26
2019-04-04 12:00:46,9.435929950370296e-27
2019-04-04 12:00:47,3.1453099834567655e-27
2019-04-04 12:00:48,1.0484366611522552e-27
2019-04-04 12:00:49,3.494788870507517e-28
2019-04-04 12:00:50,1.1649296235025057e-28
2019-04-04 12:00:51,3.883098745008352e-29
2019-04-04 12:00:52,1.2943662483361175e-29
2019-04-04 12:00:53,4.3145541611203915e-30
2019-04-04 12:00:54,1.4381847203734638e-30
2019-04-04 12:00:55,4.793949067911546e-31
2019-04-04 12:00:56,1.597983022637182e-31
2019-04-04 12:00:57,5.326610075457274e-32
2019-04-04 12:00:58,1.775536691819091e-32
2019-04-04 12:00:59,5.91845563939697e-33
2019-04-04 12:01:00,1.972818546465657e-33
2019-04-04 12:01:01,6.57606182155219e-34
2019-04-04 12:01:02,2.192020607184063e-34
2019-04-04 12:01:03,7.30673535728021e-35
2019-04-04 12:01:04,2.4355784524267366e-35
2019-04-04 12:01:05,8.118594841422455e-36
2019-04-04 12:01:06,2.7061982804741518e-36
2019-04-04 12:01:07,9.020660934913839e-37
2019-04-04 12:01:08,3.0068869783046128e-37
2019-04-04 12:01:09,1.002295659434871e-37
2019-04-04 12:01:10,3.34098553144957e-38
2019-04-04 12:01:11,1.1136618438165232e-38
2019-04-04 12:01:12,3.7122061460550776e-39
2019-04-04 12:01:13,1.237402048685026e-39
2019-04-04 12:01:14,4.124673495616753e-40
2019-04-04 12:01:15,1.3748911652055843e-40
2019-04-04 12:01:16,4.582970550685281e-41
2019-04-04 12:01:17,1.527656850228427e-41
2019-04-04 12:01:18,5.092189500761423e-42
2019-04-04 12:01:19,1.6973965002538076e-42
2019-04-04 12:01:20,5.657988334179358e-43
2019-04-04 12:01:21,1.8859961113931196e-43
2019-04-04 12:01:22,6.286653704643732e-44
2019-04-04 12:01:23,2.095551234881244e-44
2019-04-04 12:01:24,6.98517078293748e-45
2019-04-04 12:01:25,2.32839026097916e-45
2019-04-04 12:01:26,7.761300869930534e-46
2019-04-04 12:01:27,2.5871002899768447e-46
2019-04-04 12:01:28,8.623667633256149e-47
2019-04-04 12:01:29,2.87455587775205e-47
2019-04-04 12:01:30,9.581852925840166e-48
2019-04-04 12:01:31,3.1939509752800555e-48
2019-04-04 12:01:32,1.0646503250933518e-48
2019-04-04 12:01:33,3.5488344169778394e-49
2019-04-04 12:01:34,1.1829448056592799e-49
2019-04-04 12:01:35,3.9431493521975997e-50
2019-04-04 12:01:36,1.3143831173991998e-50
2019-04-04 12:01:37,4.381277057997333e-51
2019-04-04 12:01:38,1.460425685999111e-51
2019-04-04 12:01:39,4.8680856199970365e-52
2019-04-04 12:01:40,66.66666666666667
2019-04-04 12:01:41,22.222222222222225
2019-04-04 12:01:42,7.407407407407408
2019-04-04 12:01:43,2.469135802469136
2019-04-04 12:01:44,0.8230452674897121
2019-04-04 12:01:45,0.2743484224965707
2019-04-04 12:01:46,0.09144947416552357
2019-04-04 12:01:47,0.030483158055174524
2019-04-04 12:01:48,0.010161052685058175
2019-04-04 12:01:49,0.0033870175616860583
2019-04-04 12:01:50,333.3344623391872
2019-04-04 12:01:51,111.11148744639574
2019-04-04 12:01:52,37.03716248213191
2019-04-04 12:01:53,12.345720827377304
2019-04-04 12:01:54,4.115240275792435
2019-04-04 12:01:55,1.3717467585974783
2019-04-04 12:01:56,0.45724891953249275
2019-04-04 12:01:57,0.1524163065108309
2019-04-04 12:01:58,0.0508054355036103
2019-04-04 12:01:59,0.016935145167870102
2019-04-04 12:02:00,0.005645048389290034
2019-04-04 12:02:01,0.0018816827964300113
2019-04-04 12:02:02,0.0006272275988100038
2019-04-04 12:02:03,0.00020907586627000126
2019-04-04 12:02:04,6.969195542333376e-05
2019-04-04 12:02:05,2.323065180777792e-05
2019-04-04 12:02:06,7.74355060259264e-06
2019-04-04 12:02:07,2.581183534197547e-06
2019-04-04 12:02:08,8.603945113991823e-07
2019-04-04 12:02:09,2.867981704663941e-07
2019-04-04 12:02:10,9.55993901554647e-08
2019-04-04 12:02:11,3.18664633851549e-08
2019-04-04 12:02:12,1.06221544617183e-08
2019-04-04 12:02:13,3.5407181539061e-09
2019-04-04 12:02:14,1.1802393846353667e-09
2019-04-04 12:02:15,3.934131282117889e-10
2019-04-04 12:02:16,1.3113770940392963e-10
2019-04-04 12:02:17,4.3712569801309873e-11
2019-04-04 12:02:18,1.4570856600436623e-11
2019-04-04 12:02:19,4.856952200145541e-12
2019-04-04 12:02:20,1.6189840667151803e-12
2019-04-04 12:02:21,5.396613555717268e-13
2019-04-04 12:02:22,1.798871185239089e-13
2019-04-04 12:02:23,5.996237284130297e-14
2019-04-04 12:02:24,1.9987457613767657e-14
2019-04-04 12:02:25,6.662485871255885e-15
2019-04-04 12:02:26,2.2208286237519618e-15
2019-04-04 12:02:27,7.402762079173206e-16
2019-04-04 12:02:28,2.467587359724402e-16
2019-04-04 12:02:29,8.22529119908134e-17
2019-04-04 12:02:30,2.7417637330271132e-17
2019-04-04 12:02:31,9.13921244342371e-18
2019-04-04 12:02:32,3.0464041478079035e-18
2019-04-04 12:02:33,1.0154680492693012e-18
2019-04-04 12:02:34,3.384893497564337e-19
2019-04-04 12:02:35,1.1282978325214457e-19
2019-04-04 12:02:36,3.760992775071486e-20
2019-04-04 12:02:37,1.253664258357162e-20
2019-04-04 12:02:38,4.17888086119054e-21
2019-04-04 12:02:39,1.3929602870635134e-21
2019-04-04 12:02:40,4.643200956878378e-22
2019-04-04 12:02:41,1.5477336522927926e-22
2019-04-04 12:02:42,5.1591121743093086e-23
2019-04-04 12:02:43,1.7197040581031028e-23
2019-04-04 12:02:44,5.732346860343676e-24
2019-04-04 12:02:45,1.9107822867812252e-24
