h_m_s,TD
2019-04-04 15:04:15,74.7879104477612
2019-04-04 15:04:16,74.78785185185185
2019-04-04 15:04:17,74.78785185185185
2019-04-04 15:04:18,74.78809160305345
2019-04-04 15:04:19,74.78809160305345
2019-04-04 15:04:20,74.78809160305345
2019-04-04 15:04:21,74.78815384615386
2019-04-04 15:04:22,74.78821705426357
2019-04-04 15:04:23,74.78821705426357
2019-04-04 15:04:24,74.78815384615386
2019-04-04 15:04:25,74.78785185185185
2019-04-04 15:04:26,74.78913793103449
2019-04-04 15:04:27,74.78913793103449
2019-04-04 15:04:28,74.78921739130436
2019-04-04 15:04:29,74.78921739130436
2019-04-04 15:04:30,74.78921739130436
2019-04-04 15:04:31,74.78861788617887
2019-04-04 15:04:32,74.78796992481203
2019-04-04 15:04:33,74.78779411764707
2019-04-04 15:04:34,74.78796992481203
2019-04-04 15:04:35,74.78796992481203
2019-04-04 15:04:36,74.78821705426357
2019-04-04 15:04:37,74.78796992481203
2019-04-04 15:04:38,74.78796992481203
2019-04-04 15:04:39,74.78796992481203
2019-04-04 15:04:40,74.78821705426357
2019-04-04 15:04:41,74.78821705426357
2019-04-04 15:04:42,74.78821705426357
2019-04-04 15:04:43,74.78868852459017
2019-04-04 15:04:44,74.78854838709678
2019-04-04 15:04:45,74.78828125000001
2019-04-04 15:04:46,74.78796992481203
2019-04-04 15:04:47,74.78841269841271
2019-04-04 15:04:48,74.78841269841271
2019-04-04 15:04:49,74.78841269841271
2019-04-04 15:04:50,74.78841269841271
2019-04-04 15:04:51,74.78848
2019-04-04 15:04:52,74.78809160305345
2019-04-04 15:04:53,74.78801526717558
2019-04-04 15:04:54,74.7871851851852
2019-04-04 15:04:55,74.78740458015268
2019-04-04 15:04:56,74.787890625
2019-04-04 15:04:57,74.78782945736435
2019-04-04 15:04:58,74.78736842105263
2019-04-04 15:04:59,74.78771653543308
2019-04-04 15:05:00,74.787890625
2019-04-04 15:05:01,74.78776923076924
2019-04-04 15:05:02,74.78742268041238
2019-04-04 15:05:03,74.78858974358974
2019-04-04 15:05:04,74.78858974358974
2019-04-04 15:05:05,74.78905982905984
2019-04-04 15:05:06,74.78905982905984
2019-04-04 15:05:07,74.78913793103449
2019-04-04 15:05:08,74.78905982905984
