h_m_s,SHOP
2019-04-04 12:53:50,256.635
2019-04-04 12:53:51,256.64
2019-04-04 12:53:52,256.64
2019-04-04 12:53:53,256.64
2019-04-04 12:53:54,256.63
2019-04-04 12:53:55,256.63
2019-04-04 12:53:56,256.63
2019-04-04 12:53:57,256.625
2019-04-04 12:53:58,256.625
2019-04-04 12:53:59,256.615
2019-04-04 12:54:00,256.5466666666667
2019-04-04 12:54:01,256.62
2019-04-04 12:54:02,256.725
2019-04-04 12:54:03,256.725
2019-04-04 12:54:04,256.78
2019-04-04 12:54:05,256.735
2019-04-04 12:54:06,256.895
2019-04-04 12:54:07,256.935
2019-04-04 12:54:08,256.935
2019-04-04 12:54:09,256.935
2019-04-04 12:54:10,256.88
2019-04-04 12:54:11,256.85
2019-04-04 12:54:12,256.805
2019-04-04 12:54:13,256.87
2019-04-04 12:54:14,256.825
2019-04-04 12:54:15,256.835
2019-04-04 12:54:16,256.84
2019-04-04 12:54:17,256.845
2019-04-04 12:54:18,256.855
2019-04-04 12:54:19,256.865
2019-04-04 12:54:20,256.87
2019-04-04 12:54:21,257.025
2019-04-04 12:54:22,257.03
2019-04-04 12:54:23,257.045
2019-04-04 12:54:24,257.045
2019-04-04 12:54:25,257.045
2019-04-04 12:54:26,257.045
2019-04-04 12:54:27,257.045
2019-04-04 12:54:28,257.045
2019-04-04 12:54:29,257.1066666666667
2019-04-04 12:54:30,257.045
2019-04-04 12:54:31,257.045
2019-04-04 12:54:32,257.045
2019-04-04 12:54:33,257.045
2019-04-04 12:54:34,257.05
2019-04-04 12:54:35,257.06
2019-04-04 12:54:36,257.06
2019-04-04 12:54:37,257.06
2019-04-04 12:54:38,257.06
2019-04-04 12:54:39,257.06
2019-04-04 12:54:40,257.06
2019-04-04 12:54:41,257.06
2019-04-04 12:54:42,257.095
2019-04-04 12:54:43,257.105
2019-04-04 12:54:44,257.1
2019-04-04 12:54:45,257.1
2019-04-04 12:54:46,257.1
2019-04-04 12:54:47,257.1
2019-04-04 12:54:48,257.105
2019-04-04 12:54:49,257.115
2019-04-04 12:54:50,257.06
2019-04-04 12:54:51,257.0
2019-04-04 12:54:52,257.0
2019-04-04 12:54:53,257.0
2019-04-04 12:54:54,257.0
2019-04-04 12:54:55,256.955
2019-04-04 12:54:56,256.955
2019-04-04 12:54:57,256.955
2019-04-04 12:54:58,256.955
2019-04-04 12:54:59,256.955
2019-04-04 12:55:00,256.94
2019-04-04 12:55:01,256.94
2019-04-04 12:55:02,256.935
2019-04-04 12:55:03,256.935
2019-04-04 12:55:04,257.0225
2019-04-04 12:55:05,256.8475
2019-04-04 12:55:06,256.8475
2019-04-04 12:55:07,256.8475
2019-04-04 12:55:08,256.92
2019-04-04 12:55:09,256.92
2019-04-04 12:55:10,256.92
2019-04-04 12:55:11,256.925
2019-04-04 12:55:12,256.925
2019-04-04 12:55:13,256.93
2019-04-04 12:55:14,256.92
2019-04-04 12:55:15,256.92
2019-04-04 12:55:16,256.56
2019-04-04 12:55:17,256.795
2019-04-04 12:55:18,256.58
2019-04-04 12:55:19,256.65
2019-04-04 12:55:20,256.63
2019-04-04 12:55:21,256.62
2019-04-04 12:55:22,256.315
2019-04-04 12:55:23,256.25
2019-04-04 12:55:24,256.24
2019-04-04 12:55:25,256.24
2019-04-04 12:55:26,256.24
2019-04-04 12:55:27,256.235
2019-04-04 12:55:28,256.235
2019-04-04 12:55:29,256.235
2019-04-04 12:55:30,256.235
2019-04-04 12:55:31,256.25666666666666
2019-04-04 12:55:32,256.32
2019-04-04 12:55:33,256.2633333333333
2019-04-04 12:55:34,256.22333333333336
2019-04-04 12:55:35,256.37
2019-04-04 12:55:36,256.32
2019-04-04 12:55:37,256.19
2019-04-04 12:55:38,256.25
2019-04-04 12:55:39,256.325
2019-04-04 12:55:40,256.22333333333336
2019-04-04 12:55:41,256.315
2019-04-04 12:55:42,256.19
2019-04-04 12:55:43,256.265
2019-04-04 12:55:44,256.265
2019-04-04 12:55:45,256.295
2019-04-04 12:55:46,256.31
2019-04-04 12:55:47,256.31
2019-04-04 12:55:48,256.285
2019-04-04 12:55:49,256.285
2019-04-04 12:55:50,256.285
2019-04-04 12:55:51,256.245
2019-04-04 12:55:52,256.245
2019-04-04 12:55:53,256.245
2019-04-04 12:55:54,256.245
2019-04-04 12:55:55,256.19
2019-04-04 12:55:56,256.165
2019-04-04 12:55:57,256.165
2019-04-04 12:55:58,256.165
2019-04-04 12:55:59,256.13
2019-04-04 12:56:00,255.815
2019-04-04 12:56:01,255.88
2019-04-04 12:56:02,255.915
2019-04-04 12:56:03,255.915
2019-04-04 12:56:04,255.805
2019-04-04 12:56:05,255.825
2019-04-04 12:56:06,255.825
2019-04-04 12:56:07,255.825
2019-04-04 12:56:08,255.86
2019-04-04 12:56:09,255.86
2019-04-04 12:56:10,255.86
2019-04-04 12:56:11,255.86
2019-04-04 12:56:12,255.86
2019-04-04 12:56:13,255.79
2019-04-04 12:56:14,255.79
2019-04-04 12:56:15,255.775
2019-04-04 12:56:16,255.72
2019-04-04 12:56:17,255.73333333333332
2019-04-04 12:56:18,255.73333333333332
2019-04-04 12:56:19,255.73333333333332
2019-04-04 12:56:20,255.73333333333332
2019-04-04 12:56:21,255.73333333333332
2019-04-04 12:56:22,255.74666666666667
2019-04-04 12:56:23,255.815
2019-04-04 12:56:24,255.815
2019-04-04 12:56:25,255.77666666666667
2019-04-04 12:56:26,255.825
2019-04-04 12:56:27,255.83
2019-04-04 12:56:28,255.94
2019-04-04 12:56:29,255.955
2019-04-04 12:56:30,255.99
2019-04-04 12:56:31,256.105
2019-04-04 12:56:32,256.105
2019-04-04 12:56:33,256.105
2019-04-04 12:56:34,256.105
2019-04-04 12:56:35,256.1
2019-04-04 12:56:36,256.075
2019-04-04 12:56:37,256.075
2019-04-04 12:56:38,256.075
2019-04-04 12:56:39,256.075
2019-04-04 12:56:40,256.075
2019-04-04 12:56:41,256.075
2019-04-04 12:56:42,256.075
2019-04-04 12:56:43,256.075
2019-04-04 12:56:44,256.075
2019-04-04 12:56:45,256.075
2019-04-04 12:56:46,256.075
2019-04-04 12:56:47,256.095
2019-04-04 12:56:48,256.04
2019-04-04 12:56:49,256.04
2019-04-04 12:56:50,256.04
2019-04-04 12:56:51,256.095
2019-04-04 12:56:52,256.23
2019-04-04 12:56:53,256.23
2019-04-04 12:56:54,256.315
2019-04-04 12:56:55,256.32
2019-04-04 12:56:56,256.32
2019-04-04 12:56:57,256.32
2019-04-04 12:56:58,256.32
2019-04-04 12:56:59,256.385
2019-04-04 12:57:00,256.385
2019-04-04 12:57:01,256.385
2019-04-04 12:57:02,256.4433333333333
2019-04-04 12:57:03,256.4433333333333
2019-04-04 12:57:04,256.395
2019-04-04 12:57:05,256.395
2019-04-04 12:57:06,256.395
2019-04-04 12:57:07,256.395
2019-04-04 12:57:08,256.395
2019-04-04 12:57:09,256.395
2019-04-04 12:57:10,256.4433333333333
2019-04-04 12:57:11,256.4433333333333
2019-04-04 12:57:12,256.4433333333333
2019-04-04 12:57:13,256.4433333333333
2019-04-04 12:57:14,256.39
