h_m_s,MFC
2019-04-04 14:08:39,-1.0408340855860843e-17
2019-04-04 14:08:40,-1.0408340855860843e-17
2019-04-04 14:08:41,-1.0408340855860843e-17
2019-04-04 14:08:42,-1.0408340855860843e-17
2019-04-04 14:08:43,-1.0408340855860843e-17
2019-04-04 14:08:44,-1.0408340855860843e-17
2019-04-04 14:08:45,-1.0408340855860843e-17
2019-04-04 14:08:46,-1.0408340855860843e-17
2019-04-04 14:08:47,-1.0408340855860843e-17
2019-04-04 14:08:48,-1.0408340855860843e-17
2019-04-04 14:08:49,-1.0408340855860843e-17
2019-04-04 14:08:50,-1.0408340855860843e-17
2019-04-04 14:08:51,-1.0408340855860843e-17
2019-04-04 14:08:52,-1.0408340855860843e-17
2019-04-04 14:08:53,-1.0408340855860843e-17
2019-04-04 14:08:54,-1.0408340855860843e-17
2019-04-04 14:08:55,-1.0408340855860843e-17
2019-04-04 14:08:56,-1.0408340855860843e-17
2019-04-04 14:08:57,-1.0408340855860843e-17
2019-04-04 14:08:58,-1.0408340855860843e-17
2019-04-04 14:08:59,-1.0408340855860843e-17
2019-04-04 14:09:00,-1.0408340855860843e-17
2019-04-04 14:09:01,-1.0408340855860843e-17
2019-04-04 14:09:02,-1.0408340855860843e-17
2019-04-04 14:09:03,-1.0408340855860843e-17
2019-04-04 14:09:04,-1.0408340855860843e-17
2019-04-04 14:09:05,-1.0408340855860843e-17
2019-04-04 14:09:06,-1.0408340855860843e-17
2019-04-04 14:09:07,-1.0408340855860843e-17
2019-04-04 14:09:08,-1.0408340855860843e-17
2019-04-04 14:09:09,-1.0408340855860843e-17
2019-04-04 14:09:10,-1.0408340855860843e-17
2019-04-04 14:09:11,-1.0408340855860843e-17
2019-04-04 14:09:12,-1.0408340855860843e-17
2019-04-04 14:09:13,-1.0408340855860843e-17
2019-04-04 14:09:14,-1.0408340855860843e-17
2019-04-04 14:09:15,-1.0408340855860843e-17
2019-04-04 14:09:16,-1.0408340855860843e-17
2019-04-04 14:09:17,-1.0408340855860843e-17
2019-04-04 14:09:18,-1.0408340855860843e-17
2019-04-04 14:09:19,-1.0408340855860843e-17
2019-04-04 14:09:20,-1.0408340855860843e-17
2019-04-04 14:09:21,-1.0408340855860843e-17
2019-04-04 14:09:22,-1.0408340855860843e-17
2019-04-04 14:09:23,-1.0408340855860843e-17
2019-04-04 14:09:24,-1.0408340855860843e-17
2019-04-04 14:09:25,-1.0408340855860843e-17
2019-04-04 14:09:26,-1.0408340855860843e-17
2019-04-04 14:09:27,-1.0408340855860843e-17
2019-04-04 14:09:28,-1.0408340855860843e-17
2019-04-04 14:09:29,-1.0408340855860843e-17
2019-04-04 14:09:30,-1.0408340855860843e-17
2019-04-04 14:09:31,-1.0408340855860843e-17
2019-04-04 14:09:32,-1.0408340855860843e-17
2019-04-04 14:09:33,-1.0408340855860843e-17
2019-04-04 14:09:34,-1.0408340855860843e-17
2019-04-04 14:09:35,-1.0408340855860843e-17
2019-04-04 14:09:36,-1.0408340855860843e-17
2019-04-04 14:09:37,-1.0408340855860843e-17
2019-04-04 14:09:38,-1.0408340855860843e-17
2019-04-04 14:09:39,-1.0408340855860843e-17
2019-04-04 14:09:40,-1.0408340855860843e-17
2019-04-04 14:09:41,-1.0408340855860843e-17
2019-04-04 14:09:42,-1.0408340855860843e-17
2019-04-04 14:09:43,-1.0408340855860843e-17
2019-04-04 14:09:44,-1.0408340855860843e-17
2019-04-04 14:09:45,-1.0408340855860843e-17
2019-04-04 14:09:46,-1.0408340855860843e-17
2019-04-04 14:09:47,-1.0408340855860843e-17
2019-04-04 14:09:48,-1.0408340855860843e-17
2019-04-04 14:09:49,-1.0408340855860843e-17
2019-04-04 14:09:50,-1.0408340855860843e-17
2019-04-04 14:09:51,-1.0408340855860843e-17
2019-04-04 14:09:52,-1.0408340855860843e-17
2019-04-04 14:09:53,-1.0408340855860843e-17
2019-04-04 14:09:54,-1.0408340855860843e-17
2019-04-04 14:09:55,-1.0408340855860843e-17
2019-04-04 14:09:56,-1.0408340855860843e-17
2019-04-04 14:09:57,-1.0408340855860843e-17
2019-04-04 14:09:58,-1.0408340855860843e-17
2019-04-04 14:09:59,-1.0408340855860843e-17
2019-04-04 14:10:00,-1.0408340855860843e-17
2019-04-04 14:10:01,-1.0408340855860843e-17
2019-04-04 14:10:02,-1.0408340855860843e-17
2019-04-04 14:10:03,-1.0408340855860843e-17
2019-04-04 14:10:04,-1.0408340855860843e-17
2019-04-04 14:10:05,-1.0408340855860843e-17
2019-04-04 14:10:06,-1.0408340855860843e-17
2019-04-04 14:10:07,-1.0408340855860843e-17
2019-04-04 14:10:08,-1.0408340855860843e-17
2019-04-04 14:10:09,-1.0408340855860843e-17
2019-04-04 14:10:10,-1.0408340855860843e-17
2019-04-04 14:10:11,-1.0408340855860843e-17
2019-04-04 14:10:12,-1.0408340855860843e-17
2019-04-04 14:10:13,-1.0408340855860843e-17
2019-04-04 14:10:14,-1.0408340855860843e-17
2019-04-04 14:10:15,-1.0408340855860843e-17
2019-04-04 14:10:16,-1.0408340855860843e-17
2019-04-04 14:10:17,-1.0408340855860843e-17
2019-04-04 14:10:18,-1.0408340855860843e-17
2019-04-04 14:10:19,-1.0408340855860843e-17
2019-04-04 14:10:20,-1.0408340855860843e-17
2019-04-04 14:10:21,-1.0408340855860843e-17
2019-04-04 14:10:22,-1.0408340855860843e-17
2019-04-04 14:10:23,-1.0408340855860843e-17
2019-04-04 14:10:24,-1.0408340855860843e-17
