h_m_s,ABX,ACB,AEM,BAM.A,BNS,CNQ,CNR,CRON,CVE,ECA,ENB,FOOD,G,HQU,HSD,LUG,MFC,PTG,PVG,RY,SHOP,SMU.UN,SU,TD,TECK.B,WPM,XIU,XSP
2019-04-04 11:47:54,17.83,11.84,57.23,63.37,71.53,36.77,120.11,,12.0,9.27,49.08,,15.29,68.94,,,23.47,,,103.7,,,43.48,74.97,30.9,31.05,24.46,
2019-04-04 11:47:55,17.82,11.84,57.22,63.37,71.53,,120.11,,,9.27,,,15.29,68.94,,,23.47,,11.44,103.7,260.81,,,,,31.05,,32.1
2019-04-04 11:47:56,17.82,,57.22,63.37,71.53,36.77,120.13,24.46,12.0,,49.08,,15.29,68.94,,,23.47,,,103.7,260.7,,43.48,74.97,,,24.46,32.1
2019-04-04 11:47:57,17.82,,,63.37,71.53,,120.13,24.47,12.0,,49.08,,15.29,68.94,14.12,,23.47,,,103.7,260.71,,43.48,,,,,32.1
2019-04-04 11:47:58,17.82,,57.2,,,,,,12.0,,49.08,,,68.95,14.12,5.25,,,,103.7,260.71,,43.47,,,,,32.1
2019-04-04 11:47:59,,11.84,57.2,,,36.77,,,12.0,,49.08,,,68.95,,,,,,103.7,260.71,,43.47,,30.9,,,
2019-04-04 11:48:00,17.82,11.84,57.2,63.37,71.54,36.77,120.14,24.47,12.0,9.27,49.08,,,68.95,,,23.47,,,103.7,260.71,,43.47,74.97,30.9,31.05,,
2019-04-04 11:48:01,,,,63.37,71.54,36.77,120.15,,12.0,9.27,49.08,,,68.95,,,23.47,,,103.7,,,43.47,,30.9,31.05,,
2019-04-04 11:48:02,17.82,11.84,,63.37,71.54,,,24.47,12.0,9.27,49.08,,,68.95,,,23.47,,,,260.71,,43.47,74.97,30.9,31.05,,
2019-04-04 11:48:03,17.82,11.85,57.21,63.37,,36.77,,24.47,12.0,,,,15.29,68.95,,,,,,103.7,260.71,,43.47,74.97,,31.05,,
2019-04-04 11:48:04,17.82,11.85,57.21,,,36.77,,24.47,,9.27,,,15.29,,,,23.47,,,103.7,260.71,,43.47,,,31.05,,
2019-04-04 11:48:05,17.82,11.85,,,71.54,36.77,,,12.0,,,,15.29,68.95,,,,,,103.7,,,43.47,74.97,30.9,,,
2019-04-04 11:48:06,17.82,11.85,,63.36,71.53,36.77,120.15,,12.0,9.27,,,,68.94,,,23.47,,11.44,103.7,260.71,,43.47,,30.9,31.05,24.46,32.1
2019-04-04 11:48:07,,11.85,,63.36,71.53,36.77,120.15,24.46,12.0,9.27,49.08,,15.29,68.94,14.12,,23.47,,,,260.71,,43.47,,,,,32.1
2019-04-04 11:48:08,,,,63.36,71.53,36.77,120.15,,,9.27,49.08,,,68.95,14.12,5.25,23.47,,,103.7,260.71,,,74.97,30.9,31.05,24.46,32.1
2019-04-04 11:48:09,17.82,11.85,,,71.54,,,24.46,,,,,,68.96,,,23.47,,,,,,43.48,74.97,,31.05,,32.1
2019-04-04 11:48:10,,11.85,,,,36.77,,24.46,12.0,9.27,,,15.29,68.96,,5.24,,,,,,,43.48,74.97,,,,32.1
2019-04-04 11:48:11,17.82,,57.22,63.37,71.53,36.77,,,12.0,,,,15.29,68.96,,5.25,,,,103.7,,,43.48,74.97,,31.05,24.46,
2019-04-04 11:48:12,,11.85,,63.37,71.54,36.77,,,12.0,9.27,,,,68.96,,,,,,103.7,260.71,,43.48,74.97,,31.05,24.46,
2019-04-04 11:48:13,17.82,11.85,57.22,,71.54,36.77,120.16,24.48,12.0,9.27,,,,68.96,,,,,11.44,103.7,,,43.47,74.97,,,24.46,
2019-04-04 11:48:14,,11.85,,,71.54,36.77,120.17,24.48,,,,,,68.96,,,,,,103.7,260.71,,43.47,74.97,,,24.46,
2019-04-04 11:48:15,17.82,,,63.37,71.54,36.77,120.17,24.48,12.0,9.27,49.08,,15.29,68.96,,,,,,103.7,,,43.47,74.97,,,24.46,
2019-04-04 11:48:16,17.82,,,,71.54,36.77,,24.48,,9.27,49.08,,,68.96,,,23.47,,,103.7,,,,74.97,,,,
2019-04-04 11:48:17,17.83,11.85,57.24,63.37,71.54,36.77,120.16,24.48,12.0,,49.08,,15.29,68.95,14.12,,23.47,,11.44,103.7,,,43.47,74.97,30.9,31.07,,32.1
