h_m_s,ABX,ACB,AEM,BAM.A,BNS,CNQ,CNR,CRON,CVE,ECA,ENB,FOOD,G,HQU,HSD,LUG,MFC,PTG,PVG,RY,SHOP,SMU.UN,SU,TD,TECK.B,WPM,XIU,XSP
2019-04-04 11:59:27,17.82,,57.3,63.31,,36.87,,24.47,12.02,9.29,,,,,,,,1.26,11.45,,260.19,,,74.93,,,,32.08
2019-04-04 11:59:28,,,,,,,,24.48,,9.29,,,15.32,68.76,,5.27,,1.26,11.45,103.68,,,,74.93,,,,32.08
2019-04-04 11:59:29,,,,,,,,24.48,,9.29,49.07,,15.32,68.77,14.15,,23.48,1.26,,103.68,260.18,,,74.93,,31.08,,32.08
2019-04-04 11:59:30,,,57.3,63.31,,36.87,,24.48,12.02,9.29,,,,68.77,14.15,5.27,,1.26,,103.68,,11.89,,74.93,30.85,,,32.08
2019-04-04 11:59:31,,,57.3,63.31,71.52,,120.07,24.48,12.02,9.29,,,,68.77,14.15,,23.48,1.26,11.45,103.68,,,,,,,,
2019-04-04 11:59:32,17.82,11.89,,63.31,,36.87,120.07,24.48,12.02,9.29,49.07,,,68.75,14.16,,23.47,1.26,,103.68,,,,74.93,30.85,,24.46,32.08
2019-04-04 11:59:33,17.82,11.89,57.31,63.31,71.51,36.87,120.09,24.48,12.02,9.29,49.07,,15.32,68.76,14.16,5.27,23.47,1.26,11.45,103.68,260.46,,43.54,74.93,30.85,31.08,24.46,32.08
2019-04-04 11:59:34,,,57.31,63.31,71.52,36.87,120.09,,12.02,9.29,49.07,,15.32,68.77,14.16,,23.47,1.26,11.45,103.68,260.72,,43.54,74.93,,31.08,24.46,32.08
2019-04-04 11:59:35,,,,,71.52,36.87,120.09,24.48,12.02,9.29,,,,68.77,,,,1.26,,103.68,260.68,,43.54,,,,24.46,
2019-04-04 11:59:36,17.82,11.89,57.31,63.31,,36.87,120.09,,12.02,9.28,,,15.32,68.76,,,,1.26,,103.68,260.64,,43.54,74.93,,31.08,24.46,
2019-04-04 11:59:37,,11.89,,,,,120.09,24.48,12.02,9.28,,,,68.77,,,23.47,1.26,,103.68,260.62,11.89,43.54,74.93,,,,32.08
2019-04-04 11:59:38,17.82,,,,,,120.12,,12.02,9.28,,,,68.77,,5.27,,1.26,,103.68,260.57,,43.54,74.93,30.86,31.08,,32.08
2019-04-04 11:59:39,,,,63.31,71.52,,120.12,,12.02,,49.07,,15.32,68.76,,,23.47,1.26,11.46,,,,43.54,,30.86,,,32.08
2019-04-04 11:59:40,17.82,,57.32,63.32,71.52,36.86,120.12,24.47,,9.28,49.07,,15.32,68.76,14.16,,23.47,1.26,11.46,103.68,260.56,,43.54,74.93,,31.09,24.46,32.08
2019-04-04 11:59:41,17.82,,,63.32,71.52,,120.12,24.47,,9.28,49.07,,15.32,68.75,,,,1.26,,103.68,,,43.54,,,31.09,,
2019-04-04 11:59:42,17.82,11.89,,,,36.86,120.12,24.47,,,49.07,,,68.75,,,,1.26,11.46,,260.57,,,,,,,
2019-04-04 11:59:43,17.82,11.89,57.32,63.32,,36.87,120.12,24.48,12.02,9.28,,,,68.76,,5.27,23.47,1.26,,,260.56,,43.54,74.93,30.86,,,
2019-04-04 11:59:44,17.82,11.89,57.32,63.31,71.51,36.86,120.11,24.47,12.02,9.28,49.07,,,68.74,14.16,,23.47,1.26,,103.68,260.56,,43.53,74.93,30.86,31.09,24.46,32.08
2019-04-04 11:59:45,,11.89,,,,36.85,120.11,24.48,12.02,9.28,49.06,,,68.74,14.16,,23.47,1.26,11.46,103.68,,,,74.92,30.86,,24.46,32.08
2019-04-04 11:59:46,,11.89,57.32,,,,120.11,24.48,12.02,9.28,49.06,,,68.74,14.16,,,1.26,,,,,43.53,74.92,30.86,,,
2019-04-04 11:59:47,17.82,11.89,57.31,63.31,71.5,36.84,120.1,24.47,12.02,9.28,49.06,,15.32,68.73,14.16,,23.46,1.26,,103.67,260.56,,43.52,74.92,30.84,31.08,24.46,32.07
2019-04-04 11:59:48,17.82,,,63.31,71.5,36.84,120.1,24.47,12.02,9.28,49.06,,,68.72,,,23.46,1.26,,103.67,,,43.52,74.92,30.84,31.08,24.46,
2019-04-04 11:59:49,17.82,11.89,,,71.5,36.85,120.08,,12.02,9.28,49.06,,,68.73,,,23.46,1.26,11.46,103.67,,,,74.92,30.84,31.08,24.46,32.07
2019-04-04 11:59:50,17.82,,,,,36.85,,,,9.28,49.06,,15.32,68.73,,,,1.26,,103.67,,,43.52,74.92,30.84,31.08,24.46,32.07
2019-04-04 11:59:51,17.82,,57.31,63.3,71.5,36.85,120.07,,12.02,9.28,49.06,,15.32,68.72,,,23.46,1.26,,,,,,74.92,,31.08,,32.07
2019-04-04 11:59:52,17.82,11.89,57.31,63.3,71.5,36.85,120.07,,12.01,9.28,49.06,,,68.73,,,23.46,1.26,,103.67,,,43.51,74.92,30.83,31.08,24.46,
2019-04-04 11:59:53,,11.89,57.32,,,36.84,120.07,,12.01,,,,,68.72,,5.27,23.46,1.26,,103.67,,,43.52,74.92,,31.08,24.46,
2019-04-04 11:59:54,17.82,,,,71.5,36.84,120.07,24.47,,,,,15.32,68.72,,,23.46,1.26,11.46,103.67,,,43.52,74.92,30.83,,,
2019-04-04 11:59:55,17.82,,57.32,,71.5,36.84,,24.47,12.01,9.28,,,15.32,68.73,,5.27,,1.26,,103.67,260.56,,,74.92,,,,
2019-04-04 11:59:56,17.82,,,,,,120.07,24.47,,,,,,68.73,,,,1.26,,103.67,260.56,,,,,31.08,,
2019-04-04 11:59:57,,,57.32,,71.51,,120.12,24.47,,,49.06,,,68.73,,,,1.26,,103.67,,,43.52,,,,24.46,
2019-04-04 11:59:58,,,,63.3,71.51,36.84,120.1,24.48,12.01,9.28,,,,68.73,,5.27,,1.26,,103.67,,,43.52,,,,24.46,
2019-04-04 11:59:59,,11.89,,,71.51,36.85,120.1,24.48,12.01,9.28,49.06,,,68.74,14.16,,23.46,1.26,,103.67,,,43.52,74.92,,,24.46,
2019-04-04 12:00:00,17.82,11.89,,63.3,71.51,36.84,120.08,24.48,12.01,9.28,49.06,,,68.72,14.17,,23.46,1.26,,103.67,,,43.52,74.92,30.83,,24.46,32.07
2019-04-04 12:00:01,,11.89,57.32,63.29,71.51,36.84,120.1,24.48,,,49.06,,15.32,68.73,14.16,,23.46,1.26,,103.67,,,43.52,74.92,30.83,,24.46,32.07
2019-04-04 12:00:02,17.82,11.89,57.32,63.3,,36.84,120.1,,12.01,9.28,49.06,,15.32,68.73,,,23.46,1.26,,,,,43.52,74.92,30.84,31.08,,
2019-04-04 12:00:03,17.82,11.89,,63.3,71.51,36.84,120.08,,,9.28,,,,68.73,,,23.46,1.26,,103.67,,,43.52,74.92,30.83,,,
2019-04-04 12:00:04,17.82,11.89,57.32,63.3,71.51,36.85,120.08,,12.01,9.28,49.07,,15.32,68.73,14.16,,23.46,1.26,,103.67,260.57,,43.52,74.92,30.83,,24.46,
2019-04-04 12:00:05,17.82,11.89,57.32,,71.51,36.85,120.08,24.48,12.01,9.28,49.07,,,68.73,14.16,,23.46,1.26,,103.67,260.49,,43.52,74.92,30.83,31.08,24.46,
2019-04-04 12:00:06,17.82,11.89,57.31,,71.52,36.85,120.1,24.48,,9.28,49.07,,15.32,68.74,14.16,,23.46,1.26,,103.67,260.47,,,74.92,30.84,31.08,24.46,32.08
2019-04-04 12:00:07,,11.9,57.31,,71.52,36.85,,24.49,,9.28,49.07,,15.32,68.75,,,,1.26,,,,,,,30.84,31.08,,32.08
2019-04-04 12:00:08,,11.9,,63.3,71.52,36.85,120.1,24.49,12.01,9.28,49.07,,,68.75,,5.27,23.46,1.26,,,260.25,,43.52,74.92,30.85,31.08,,32.08
2019-04-04 12:00:09,17.82,,57.31,63.31,71.52,36.85,120.08,24.49,,,49.07,,,68.76,,,23.46,1.26,,103.67,,,43.52,74.92,30.85,31.08,24.46,32.08
2019-04-04 12:00:10,17.82,,,,,36.85,,24.49,12.01,,49.07,,,68.76,14.16,,23.46,1.26,,,260.23,,43.52,74.92,30.85,,24.46,32.08
2019-04-04 12:00:11,,11.9,,,71.52,36.85,120.08,24.49,12.01,,49.07,,15.32,68.76,,5.27,23.46,1.26,,,260.24,,43.52,,30.86,,24.46,
2019-04-04 12:00:12,17.82,11.9,57.31,63.31,71.51,36.84,120.07,24.48,12.01,9.28,49.05,,15.32,68.74,14.16,,23.46,1.26,,103.67,,,43.52,74.92,30.86,31.08,24.46,32.08
2019-04-04 12:00:13,17.82,11.9,57.31,63.31,71.51,36.84,120.07,24.49,12.01,9.28,49.05,,15.32,,,,23.46,1.26,,103.67,,,43.52,,30.86,,,32.08
2019-04-04 12:00:14,17.82,11.92,,63.32,71.51,36.84,120.07,24.49,12.01,9.28,49.05,,15.32,68.75,14.16,,23.46,1.26,11.46,103.67,260.25,,43.52,,30.86,31.08,24.46,32.08
2019-04-04 12:00:15,17.82,11.92,57.32,63.32,71.51,36.85,,24.49,12.01,9.28,49.05,,15.32,68.76,14.16,,,1.26,11.46,,260.33,,43.52,74.92,30.86,31.08,24.46,32.08
2019-04-04 12:00:16,17.82,,57.32,63.32,71.51,,120.08,,,,49.05,,,68.77,14.16,,23.46,,,,,,,,30.86,31.08,24.46,32.08
2019-04-04 12:00:17,17.82,11.92,57.31,63.32,71.52,36.85,120.09,,12.02,9.28,49.06,,15.32,68.75,,,23.46,,,103.68,,,43.53,74.92,30.86,31.08,24.46,
2019-04-04 12:00:18,17.82,11.92,,,,36.85,120.08,24.49,12.02,9.28,49.06,,15.32,68.76,,,23.46,,,103.68,,,43.53,74.92,,,24.46,
2019-04-04 12:00:19,17.82,11.92,,,71.52,36.85,,,12.02,9.28,49.06,,15.32,68.76,14.16,,,,,,260.35,,43.53,74.92,30.86,31.08,24.46,32.08
2019-04-04 12:00:20,17.82,,,63.32,71.52,36.85,,24.49,12.02,9.28,49.06,,15.32,68.76,,,,1.26,,103.68,,,43.53,74.92,30.86,,24.46,
2019-04-04 12:00:21,,,,63.32,,36.85,,,12.02,,49.06,,,,14.16,,,1.26,,,260.45,,43.53,74.92,,,24.46,
2019-04-04 12:00:22,,11.92,,,71.52,36.85,,24.49,,9.28,,,,68.76,,,,1.26,,,,,,,,,24.46,32.08
2019-04-04 12:00:23,17.82,,,,,,,,12.02,9.28,,,15.32,68.76,,5.27,,1.26,,,,,43.53,74.92,,31.08,24.46,
2019-04-04 12:00:24,17.82,,57.32,,,36.85,,,,9.28,49.06,,15.33,68.76,,5.27,,1.26,,,,,43.53,74.92,,31.08,24.46,
2019-04-04 12:00:25,17.82,,57.32,,,36.85,,,,9.28,,,15.33,,,,,1.26,,,,,,74.92,,,24.46,
2019-04-04 12:00:26,17.82,,,,,36.85,,,12.02,,,,,,,,,1.26,,,,,,,30.86,31.08,,
2019-04-04 12:00:27,17.82,,57.31,,,36.85,,,,,,,15.32,68.76,,,23.46,1.26,,,,,43.53,74.92,30.86,31.08,,
2019-04-04 12:00:28,17.82,,,,,,,24.49,,,49.06,,15.32,68.76,14.16,5.27,,1.26,,,,,43.53,,30.85,31.08,,
2019-04-04 12:00:29,17.82,11.92,,,,36.85,,24.5,,,,,15.32,68.76,14.16,,23.46,1.26,,103.68,,,,74.92,30.85,31.08,,32.08
2019-04-04 12:00:30,17.82,11.92,,63.32,71.52,36.85,120.08,24.5,12.02,,49.06,,,68.76,,,,1.26,,103.68,,,,74.92,30.85,31.08,,
