h_m_s,BNS
2019-04-04 13:21:19,12.996002569275024
2019-04-04 13:21:20,12.157550790612119
2019-04-04 13:21:21,11.373192675088756
2019-04-04 13:21:22,10.639438308953997
2019-04-04 13:21:23,9.953022934182773
2019-04-04 13:21:24,9.310892422300013
2019-04-04 13:21:25,8.710189685377431
2019-04-04 13:21:26,8.148241963740178
2019-04-04 13:21:27,7.622548933821457
2019-04-04 13:21:28,7.130771583252331
2019-04-04 13:21:29,6.670721803687664
2019-04-04 13:21:30,6.240352655062654
2019-04-04 13:21:31,5.837749257961837
2019-04-04 13:21:32,5.461120273577202
2019-04-04 13:21:33,5.108789933346414
2019-04-04 13:21:34,4.779190582807936
2019-04-04 13:21:35,4.470855706497747
2019-04-04 13:21:36,4.18241340285273
2019-04-04 13:21:37,3.912580280088038
2019-04-04 13:21:38,3.66015574588881
2019-04-04 13:21:39,3.4240166655088866
2019-04-04 13:21:40,3.2031123645083133
2019-04-04 13:21:41,-3.455152949330933
2019-04-04 13:21:42,-3.2322398558257115
2019-04-04 13:21:43,-3.023708252224053
2019-04-04 13:21:44,-2.8286303004676623
2019-04-04 13:21:45,-2.646138023018136
2019-04-04 13:21:46,-2.4754194408879338
2019-04-04 13:21:47,-2.3157149608306478
2019-04-04 13:21:48,-2.1663139956157673
2019-04-04 13:21:49,-2.0265518023502342
2019-04-04 13:21:50,-1.8958065247792515
2019-04-04 13:21:51,-1.7734964264063966
2019-04-04 13:21:52,-1.659077302122113
2019-04-04 13:21:53,-1.552040056823912
2019-04-04 13:21:54,-1.4519084402546274
2019-04-04 13:21:55,-1.3582369279801354
2019-04-04 13:21:56,-1.2706087390781913
2019-04-04 13:21:57,-1.188633981718308
2019-04-04 13:21:58,-1.111947918381643
2019-04-04 13:21:59,-1.0402093430021822
2019-04-04 13:22:00,-0.973099062808493
2019-04-04 13:22:01,-0.910318478111171
2019-04-04 13:22:02,-0.8515882537169018
2019-04-04 13:22:03,-0.796647076057747
2019-04-04 13:22:04,-0.7452504905056342
2019-04-04 13:22:05,-0.697169813698819
2019-04-04 13:22:06,-0.6521911160408308
2019-04-04 13:22:07,-0.6101142698446481
2019-04-04 13:22:08,-0.5707520588869288
2019-04-04 13:22:09,-0.5339293454103528
2019-04-04 13:22:10,-0.49948229086774937
2019-04-04 13:22:11,-0.4672576269407978
2019-04-04 13:22:12,-0.4371119735897786
2019-04-04 13:22:13,-0.4089112011001155
2019-04-04 13:22:14,-0.3825298332872048
2019-04-04 13:22:15,-0.3578504892041593
2019-04-04 13:22:16,-0.3347633608684071
2019-04-04 13:22:17,-0.3131657246833485
2019-04-04 13:22:18,-0.292961484381197
2019-04-04 13:22:19,-0.27406074345337783
2019-04-04 13:22:20,-0.2563794051660631
2019-04-04 13:22:21,-0.23983879838115582
2019-04-04 13:22:22,-0.22436532751785543
2019-04-04 13:22:23,-0.20989014509734863
2019-04-04 13:22:24,-0.19634884541364872
2019-04-04 13:22:25,-0.18368117796760686
2019-04-04 13:22:26,-0.17183077938905159
2019-04-04 13:22:27,-0.16074492265427406
2019-04-04 13:22:28,-0.15037428248303059
2019-04-04 13:22:29,-0.14067271587122215
2019-04-04 13:22:30,-0.1315970567827562
2019-04-04 13:22:31,-0.12310692408709452
2019-04-04 13:22:32,-58.179680670920185
2019-04-04 13:22:33,-54.42615288569953
2019-04-04 13:22:34,-50.91478818339633
2019-04-04 13:22:35,-47.62996313930625
2019-04-04 13:22:36,-44.55706229160907
2019-04-04 13:22:37,-41.682413111505255
2019-04-04 13:22:38,-38.99322516882749
2019-04-04 13:22:39,-36.47753322245153
2019-04-04 13:22:40,-34.12414398229336
2019-04-04 13:22:41,-31.92258630601637
2019-04-04 13:22:42,-29.863064608854025
2019-04-04 13:22:43,-27.93641527925054
2019-04-04 13:22:44,-26.134065906395666
2019-04-04 13:22:45,-24.447997138241107
2019-04-04 13:22:46,-22.870707000290068
2019-04-04 13:22:47,-21.395177516400388
2019-04-04 13:22:48,-20.01484348308423
2019-04-04 13:22:49,-18.723563258369122
2019-04-04 13:22:50,-17.515591435248535
2019-04-04 13:22:51,-16.385553278135728
2019-04-04 13:22:52,-15.328420808578583
2019-04-04 13:22:53,-14.339490433831578
2019-04-04 13:22:54,-13.41436201874567
2019-04-04 13:22:55,-12.548919307858853
2019-04-04 13:22:56,-11.739311610577637
2019-04-04 13:22:57,-10.981936667959724
2019-04-04 13:22:58,-10.273424624865548
2019-04-04 13:22:59,-9.610623036164545
2019-04-04 13:23:00,-8.990582840282961
2019-04-04 13:23:01,-8.41054523768406
2019-04-04 13:23:02,-7.867929415897992
2019-04-04 13:23:03,-7.360321066485218
2019-04-04 13:23:04,-6.885461642841011
2019-04-04 13:23:05,-6.441238311044817
2019-04-04 13:23:06,-6.025674549041925
2019-04-04 13:23:07,-5.636921352329543
2019-04-04 13:23:08,-5.27324900701796
2019-04-04 13:23:09,-4.933039393661963
2019-04-04 13:23:10,-4.614778787619256
2019-04-04 13:23:11,-4.3170511239018845
2019-04-04 13:23:12,-4.038531696553376
2019-04-04 13:23:13,-3.777981264517674
2019-04-04 13:23:14,-3.5342405377745982
2019-04-04 13:23:15,-3.306225019208495
2019-04-04 13:23:16,-3.09292017925956
2019-04-04 13:23:17,-2.8933769418879756
2019-04-04 13:23:18,-2.706707461766171
2019-04-04 13:23:19,-2.5320811739102886
2019-04-04 13:23:20,-2.3687210981741407
2019-04-04 13:23:21,-2.2159003821629057
2019-04-04 13:23:22,-2.0729390671846537
2019-04-04 13:23:23,-1.93920106285016
2019-04-04 13:23:24,-1.8140913168598272
2019-04-04 13:23:25,-1.6970531673849996
2019-04-04 13:23:26,-1.5875658662633867
2019-04-04 13:23:27,-1.4851422619883294
2019-04-04 13:23:28,-1.3893266321826307
2019-04-04 13:23:29,-1.2996926559127837
2019-04-04 13:23:30,-1.2158415168216363
2019-04-04 13:23:31,-1.1374001286395954
2019-04-04 13:23:32,-1.0640194751789762
2019-04-04 13:23:33,-0.9953730574254939
2019-04-04 13:23:34,-0.9311554408173975
2019-04-04 13:23:35,-0.8710808962485331
2019-04-04 13:23:36,-0.8148821287486278
2019-04-04 13:23:37,-0.7623090881842002
2019-04-04 13:23:38,-0.7131278566884454
2019-04-04 13:23:39,-0.6671196078698359
2019-04-04 13:23:40,-0.6240796331685562
2019-04-04 13:23:41,-0.5838164310286493
2019-04-04 13:23:42,-0.5461508548332527
2019-04-04 13:23:43,-0.5109153158117524
2019-04-04 13:23:44,-0.4779530373722845
2019-04-04 13:23:45,-0.4471173575418146
2019-04-04 13:23:46,-0.4182710764100846
2019-04-04 13:23:47,-0.39128584567395014
2019-04-04 13:23:48,-0.36604159756595334
2019-04-04 13:23:49,-0.3424260106262144
2019-04-04 13:23:50,-0.3203340099406522
2019-04-04 13:23:51,-0.2996672996219004
2019-04-04 13:23:52,-0.28033392545274555
2019-04-04 13:23:53,-0.2622478657461168
2019-04-04 13:23:54,-0.24532864860120604
2019-04-04 13:23:55,-0.22950099385274114
2019-04-04 13:23:56,-0.21469447812030623
2019-04-04 13:23:57,-0.20084322146738323
2019-04-04 13:23:58,-0.18788559427593915
2019-04-04 13:23:59,-0.17576394303233017
2019-04-04 13:24:00,-0.1644243338044379
2019-04-04 13:24:01,-0.15381631226866774
2019-04-04 13:24:02,-0.14389267921907628
2019-04-04 13:24:03,83.7363584613757
2019-04-04 13:24:04,78.33401275419017
2019-04-04 13:24:05,73.28020547972629
2019-04-04 13:24:06,68.55245028748588
2019-04-04 13:24:07,64.12971155926098
2019-04-04 13:24:08,59.99231081350221
2019-04-04 13:24:09,107.73474237392143
2019-04-04 13:24:10,100.78411383366844
2019-04-04 13:24:11,94.2819129411737
2019-04-04 13:24:12,88.19920888045282
2019-04-04 13:24:13,82.50893733977844
2019-04-04 13:24:14,77.18578009205079
2019-04-04 13:24:15,72.20605234417654
2019-04-04 13:24:16,67.54759735422967
2019-04-04 13:24:17,63.18968784750517
2019-04-04 13:24:18,59.11293379282741
2019-04-04 13:24:19,55.29919612877403
2019-04-04 13:24:20,51.7315060559499
2019-04-04 13:24:21,48.393989536211194
2019-04-04 13:24:22,45.27179666290725
2019-04-04 13:24:23,42.35103558788097
2019-04-04 13:24:24,39.61871071124349
2019-04-04 13:24:25,37.0626648589052
2019-04-04 13:24:26,34.67152519058873
2019-04-04 13:24:27,32.43465259764752
2019-04-04 13:24:28,30.34209436554123
2019-04-04 13:24:29,28.384539890345017
2019-04-04 13:24:30,26.553279252258243
2019-04-04 13:24:31,24.840164461789968
2019-04-04 13:24:32,23.237573206190614
2019-04-04 13:24:33,21.738374934823476
2019-04-04 13:24:34,20.335899132576802
2019-04-04 13:24:35,19.023905640152492
2019-04-04 13:24:36,17.796556889174912
2019-04-04 13:24:37,16.648391928582985
2019-04-04 13:24:38,15.574302126738921
2019-04-04 13:24:39,14.569508441142862
2019-04-04 13:24:40,13.629540154617516
2019-04-04 13:24:41,12.75021498335187
2019-04-04 13:24:42,11.927620468296912
2019-04-04 13:24:43,11.158096567116464
2019-04-04 13:24:44,10.438219369237983
2019-04-04 13:24:45,9.764785861545208
2019-04-04 13:24:46,9.134799676929388
2019-04-04 13:24:47,8.545457762288782
2019-04-04 13:24:48,7.994137906657247
2019-04-04 13:24:49,7.478387073969683
2019-04-04 13:24:50,6.995910488552284
2019-04-04 13:24:51,6.5445614247747175
2019-04-04 13:24:52,6.122331655434413
2019-04-04 13:24:53,5.7273425163741285
2019-04-04 13:24:54,5.357836547575798
2019-04-04 13:24:55,5.012169673538649
2019-04-04 13:24:56,4.688803888149059
2019-04-04 13:24:57,4.386300411494282
2019-04-04 13:24:58,4.10331328817207
2019-04-04 13:24:59,3.838583398612582
2019-04-04 13:25:00,3.5909328567666092
2019-04-04 13:25:01,3.3592597692332795
2019-04-04 13:25:02,3.1425333325085516
2019-04-04 13:25:03,2.9397892465402577
2019-04-04 13:25:04,2.750125424182822
2019-04-04 13:25:05,2.5726979774613494
2019-04-04 13:25:06,2.4067174627864234
2019-04-04 13:25:07,2.2514453684131057
2019-04-04 13:25:08,2.106190828515486
2019-04-04 13:25:09,1.9703075492564224
2019-04-04 13:25:10,1.8431909331753629
2019-04-04 13:25:11,1.724275389099533
2019-04-04 13:25:12,1.6130318156092405
2019-04-04 13:25:13,1.5089652468602572
2019-04-04 13:25:14,1.4116126502886277
2019-04-04 13:25:15,1.3205408663990388
2019-04-04 13:25:16,1.2353446814700686
2019-04-04 13:25:17,1.155645024601032
2019-04-04 13:25:18,1.0810872810783847
2019-04-04 13:25:19,1.0113397145571985
2019-04-04 13:25:20,0.9460919910373792
2019-04-04 13:25:21,-76.53430104064245
2019-04-04 13:25:22,-71.59660419931068
2019-04-04 13:25:23,-66.97746844451645
2019-04-04 13:25:24,-62.656341448096036
2019-04-04 13:25:25,-58.61399683854145
2019-04-04 13:25:26,-54.83244865540975
2019-04-04 13:25:27,-51.29487132280267
2019-04-04 13:25:28,-47.98552478584766
2019-04-04 13:25:29,-44.8896844770833
2019-04-04 13:25:30,-41.99357580114244
2019-04-04 13:25:31,-39.28431284623002
2019-04-04 13:25:32,-36.74984104969905
2019-04-04 13:25:33,-34.378883562621695
2019-04-04 13:25:34,-32.16089107471062
2019-04-04 13:25:35,-30.08599487634219
2019-04-04 13:25:36,-28.14496294883624
2019-04-04 13:25:37,-26.329158887621002
2019-04-04 13:25:38,-24.63050347551642
2019-04-04 13:25:39,-23.041438735160522
2019-04-04 13:25:40,-21.554894300634036
2019-04-04 13:25:41,-20.164255958657648
2019-04-04 13:25:42,-18.863336219389414
2019-04-04 13:25:43,-17.646346785880418
2019-04-04 13:25:44,-16.507872799694585
2019-04-04 13:25:45,-15.442848748101385
2019-04-04 13:25:46,-14.44653592564323
2019-04-04 13:25:47,-13.51450134979528
2019-04-04 13:25:48,-12.642598036905262
2019-04-04 13:25:49,-11.82694655065331
2019-04-04 13:25:50,-11.063917740933741
2019-04-04 13:25:51,-10.350116596357372
2019-04-04 13:25:52,-9.682367138527864
2019-04-04 13:25:53,-9.057698290880905
2019-04-04 13:25:54,-8.47333065921117
2019-04-04 13:25:55,-7.926664165068513
2019-04-04 13:25:56,-7.4152664769995775
2019-04-04 13:25:57,-6.9368621881608945
2019-04-04 13:25:58,-6.489322692150514
2019-04-04 13:25:59,-6.070656712011772
2019-04-04 13:26:00,0.7726114629567297
2019-04-04 13:26:01,0.7227655621208117
2019-04-04 13:26:02,0.6761355258549528
2019-04-04 13:26:03,0.6325138790256011
2019-04-04 13:26:04,0.5917065319916913
2019-04-04 13:26:05,0.5535319170244855
2019-04-04 13:26:06,0.5178201804422606
2019-04-04 13:26:07,0.4844124268653406
2019-04-04 13:26:08,0.453160012228867
2019-04-04 13:26:09,0.4239238824076497
2019-04-04 13:26:10,0.396573954510382
2019-04-04 13:26:11,0.37098853809035737
2019-04-04 13:26:12,0.34705379369743106
2019-04-04 13:26:13,0.3246632263621129
2019-04-04 13:26:14,0.3037172117581056
2019-04-04 13:26:15,0.28412255293500205
2019-04-04 13:26:16,0.26579206564887287
2019-04-04 13:26:17,0.24864419044571978
2019-04-04 13:26:18,0.23260262977180238
2019-04-04 13:26:19,0.21759600849620223
2019-04-04 13:26:20,0.2035575563351569
2019-04-04 13:26:21,0.19042481076514678
2019-04-04 13:26:22,0.17813933910287924
2019-04-04 13:26:23,0.16664647851559672
2019-04-04 13:26:24,19.510733802482335
2019-04-04 13:26:25,18.251976782967343
2019-04-04 13:26:26,17.074429893743645
2019-04-04 13:26:27,15.972853771566635
2019-04-04 13:26:28,14.942347076626852
2019-04-04 13:26:29,13.978324684586411
2019-04-04 13:26:30,13.076497285580837
2019-04-04 13:26:31,12.232852299414331
2019-04-04 13:26:32,11.443636022032761
2019-04-04 13:26:33,10.705336923837098
2019-04-04 13:26:34,10.014670025525028
2019-04-04 13:26:35,9.368562281942769
2019-04-04 13:26:36,8.764138908914203
2019-04-04 13:26:37,8.19871059221006
2019-04-04 13:26:38,7.669761521744896
2019-04-04 13:26:39,7.174938197761354
2019-04-04 13:26:40,6.712038959196105
2019-04-04 13:26:41,6.279004187635066
2019-04-04 13:26:42,5.873907143271514
2019-04-04 13:26:43,5.494945392092707
2019-04-04 13:26:44,5.140432786151242
2019-04-04 13:26:45,4.808791961238259
2019-04-04 13:26:46,4.498547318577726
2019-04-04 13:26:47,4.208318459314647
2019-04-04 13:26:48,3.93681404258467
2019-04-04 13:26:49,3.6828260398372716
2019-04-04 13:26:50,3.4452243598477703
2019-04-04 13:26:51,3.222951820502753
2019-04-04 13:26:52,3.0150194449864465
2019-04-04 13:26:53,2.820502061438934
2019-04-04 13:26:54,2.6385341865073895
2019-04-04 13:26:55,2.4683061744746544
2019-04-04 13:26:56,2.3090606148311283
2019-04-04 13:26:57,2.160088962261378
2019-04-04 13:26:58,2.0207283840509667
2019-04-04 13:26:59,1.8903588108863882
2019-04-04 13:27:00,1.7684001779259761
2019-04-04 13:27:01,1.6543098438662358
2019-04-04 13:27:02,1.547580176520027
2019-04-04 13:27:03,1.4477362941638963
2019-04-04 13:27:04,1.3543339526049352
2019-04-04 13:27:05,1.2669575685659071
2019-04-04 13:27:06,1.1852183705939132
2019-04-04 13:27:07,-211.79447313718634
2019-04-04 13:27:08,-507.8077329347872
2019-04-04 13:27:09,-475.0459437131881
2019-04-04 13:27:10,-444.3978183123373
2019-04-04 13:27:11,-415.72699132444455
2019-04-04 13:27:12,-388.90589510996426
2019-04-04 13:27:13,-363.81519219964395
2019-04-04 13:27:14,-340.34324431579597
2019-04-04 13:27:15,-318.3856156502607
2019-04-04 13:27:16,-297.8446081889536
2019-04-04 13:27:17,-278.6288270154727
2019-04-04 13:27:18,-260.6527736596358
2019-04-04 13:27:19,-243.83646568159477
