h_m_s,CVE
2019-04-04 12:51:31,3.924715604250761e-05
2019-04-04 12:51:32,-8.88314770991749e-05
2019-04-04 12:51:33,0.0
2019-04-04 12:51:34,3.3098215412318314e-06
2019-04-04 12:51:35,9.680614197743813e-05
2019-04-04 12:51:36,0.0
2019-04-04 12:51:37,0.0
2019-04-04 12:51:38,8.022076755264203e-06
2019-04-04 12:51:39,0.0
2019-04-04 12:51:40,0.0
2019-04-04 12:51:41,0.0
2019-04-04 12:51:42,-4.519989056865224e-05
2019-04-04 12:51:43,8.50383522955072e-06
2019-04-04 12:51:44,0.0
2019-04-04 12:51:45,3.7155017747927632e-06
2019-04-04 12:51:46,0.0
2019-04-04 12:51:47,0.0
2019-04-04 12:51:48,0.0
2019-04-04 12:51:49,1.2696970264516042e-05
2019-04-04 12:51:50,-0.0001383936897845299
2019-04-04 12:51:51,3.249430627541845e-06
2019-04-04 12:51:52,0.0
2019-04-04 12:51:53,4.5130834288236e-06
2019-04-04 12:51:54,0.0
2019-04-04 12:51:55,0.0
2019-04-04 12:51:56,0.0
2019-04-04 12:51:57,0.0
2019-04-04 12:51:58,0.0
2019-04-04 12:51:59,0.0
2019-04-04 12:52:00,0.0
2019-04-04 12:52:01,0.0
2019-04-04 12:52:02,0.0
2019-04-04 12:52:03,3.798203732302629e-06
2019-04-04 12:52:04,0.0
2019-04-04 12:52:05,0.0
2019-04-04 12:52:06,0.0
2019-04-04 12:52:07,6.337676341978935e-05
2019-04-04 12:52:08,0.0
2019-04-04 12:52:09,0.0005246713882627185
2019-04-04 12:52:10,0.0004942394832570545
2019-04-04 12:52:11,-0.00011880465633335824
2019-04-04 12:52:12,-4.688562252389475e-05
2019-04-04 12:52:13,-3.1635958696063556e-06
2019-04-04 12:52:14,6.291665622584957e-06
2019-04-04 12:52:15,3.1671405647391405e-05
2019-04-04 12:52:16,4.905308675973864e-05
2019-04-04 12:52:17,6.0494286768028764e-05
2019-04-04 12:52:18,7.83521309718409e-05
2019-04-04 12:52:19,1.7835022796258053e-05
