h_m_s,TECK.B
2019-04-04 12:29:48,0.014895767195767759
2019-04-04 12:29:49,0.014562433862434492
2019-04-04 12:29:50,0.014229100529101224
2019-04-04 12:29:51,0.013895767195767957
2019-04-04 12:29:52,0.01356243386243469
2019-04-04 12:29:53,0.01343112073112156
2019-04-04 12:29:54,0.013583501683502482
2019-04-04 12:29:55,0.01381683501683578
2019-04-04 12:29:56,0.014150168350169048
2019-04-04 12:29:57,0.014150168350169048
2019-04-04 12:29:58,0.014150168350169048
2019-04-04 12:29:59,0.014150168350169048
2019-04-04 12:30:00,0.013993305605070984
2019-04-04 12:30:01,0.014000713012478367
2019-04-04 12:30:02,0.014267379679144956
2019-04-04 12:30:03,0.014367379679144861
2019-04-04 12:30:04,0.014367379679144861
2019-04-04 12:30:05,0.014034046345811594
2019-04-04 12:30:06,0.013903611563202878
2019-04-04 12:30:07,0.013570278229869493
2019-04-04 12:30:08,0.013236944896536106
2019-04-04 12:30:09,0.013236944896535988
2019-04-04 12:30:10,0.01323694489653587
2019-04-04 12:30:11,0.013214722674313534
2019-04-04 12:30:12,0.013214722674313416
2019-04-04 12:30:13,0.013514722674313343
2019-04-04 12:30:14,0.01384805600764661
2019-04-04 12:30:15,0.014181389340979877
2019-04-04 12:30:16,0.014514722674313144
2019-04-04 12:30:17,0.014681389340979718
2019-04-04 12:30:18,0.014848056007646293
2019-04-04 12:30:19,0.014848056007646175
2019-04-04 12:30:20,0.01518138934097944
2019-04-04 12:30:21,0.015514722674312708
2019-04-04 12:30:22,0.015848056007645977
2019-04-04 12:30:23,0.015979369138959105
2019-04-04 12:30:24,0.015979369138959105
2019-04-04 12:30:25,0.015979369138959105
2019-04-04 12:30:26,0.015979369138959105
2019-04-04 12:30:27,0.015979369138959105
2019-04-04 12:30:28,0.01564603580562572
2019-04-04 12:30:29,0.015312702472292335
2019-04-04 12:30:30,0.015469565217390398
2019-04-04 12:30:31,0.015327898550723784
2019-04-04 12:30:32,0.015116787439612738
2019-04-04 12:30:33,0.015072342995168377
2019-04-04 12:30:34,0.01512789855072392
2019-04-04 12:30:35,0.015183454106279465
