h_m_s,PVG
2019-04-04 09:31:39,-111.05959713656985
2019-04-04 09:31:40,-90.86694307989511
2019-04-04 09:31:41,-74.34568068041538
2019-04-04 09:31:42,-60.8282841787971
2019-04-04 09:31:43,-49.768596136735866
2019-04-04 09:31:44,-40.7197604691164
2019-04-04 09:31:45,-33.316167652268994
2019-04-04 09:31:46,-27.258682621718066
2019-04-04 09:31:47,-22.302558506760086
2019-04-04 09:31:48,-18.24754786788317
2019-04-04 09:31:49,-14.929811891044759
2019-04-04 09:31:50,-12.21530063755206
2019-04-04 09:31:51,-9.994336884884635
2019-04-04 09:31:52,-8.177184723738637
2019-04-04 09:31:53,-6.690423864704434
2019-04-04 09:31:54,-5.473983161915337
2019-04-04 09:31:55,-4.478713496035187
2019-04-04 09:31:56,-3.6644019512497294
2019-04-04 09:31:57,-2.9981470509878387
2019-04-04 09:31:58,-2.453029405330479
2019-04-04 09:31:59,-2.00702405889122
2019-04-04 09:32:00,-1.642110593627871
2019-04-04 09:32:01,-1.3435450311431145
2019-04-04 09:32:02,17.0825540657799
2019-04-04 09:32:03,13.976635144680527
2019-04-04 09:32:04,11.435428754706159
2019-04-04 09:32:05,9.356259890192403
2019-04-04 09:32:06,7.655121728324694
2019-04-04 09:32:07,6.263281414074105
2019-04-04 09:32:08,5.124502975145023
2019-04-04 09:32:09,4.192775161477928
2019-04-04 09:32:10,3.4304524048426566
2019-04-04 09:32:11,20.98855196765358
2019-04-04 09:32:12,17.172451609888597
2019-04-04 09:32:13,-131.4043577740393
2019-04-04 09:32:14,-89.3308381786872
2019-04-04 09:32:15,-73.08886760072126
2019-04-04 09:32:16,-59.79998258239303
2019-04-04 09:32:17,-48.927258476493165
2019-04-04 09:32:18,-40.031393298942106
2019-04-04 09:32:19,-32.75295815367532
2019-04-04 09:32:20,-26.797874853004014
2019-04-04 09:32:21,-21.92553397063759
2019-04-04 09:32:22,-17.93907324870211
2019-04-04 09:32:23,-14.677423567118986
2019-04-04 09:32:24,-12.008801100369464
2019-04-04 09:32:25,-9.825382718483693
2019-04-04 09:32:26,-8.038949496940926
