h_m_s,CNR
2019-04-04 09:33:10,69.35562566445529
2019-04-04 09:33:11,56.745511907281596
2019-04-04 09:33:12,46.42814610595766
2019-04-04 09:33:13,37.986664995783535
2019-04-04 09:33:14,31.079998632913796
2019-04-04 09:33:15,25.42908979056583
2019-04-04 09:33:16,-197.3761992622645
2019-04-04 09:33:17,-161.48961757821638
2019-04-04 09:33:18,-132.12786892763157
2019-04-04 09:33:19,-108.10462003169853
2019-04-04 09:33:20,-88.4492345713897
2019-04-04 09:33:21,-72.36755555840973
2019-04-04 09:33:22,-59.209818184153406
2019-04-04 09:33:23,-48.4443966961255
2019-04-04 09:33:24,-39.636324569557225
2019-04-04 09:33:25,-32.429720102364996
2019-04-04 09:33:26,-26.533407356480446
2019-04-04 09:33:27,-21.709151473484
2019-04-04 09:33:28,-17.76203302375963
2019-04-04 09:33:29,-14.53257247398515
2019-04-04 09:33:30,-11.89028656962421
2019-04-04 09:33:31,-9.728416284237989
2019-04-04 09:33:32,-7.959613323467445
2019-04-04 09:33:33,-6.512410901018818
2019-04-04 09:33:34,-5.328336191742668
2019-04-04 09:33:35,-4.359547793244
2019-04-04 09:33:36,-3.566902739926909
2019-04-04 09:33:37,-2.9183749690311065
2019-04-04 09:33:38,-2.3877613382981777
2019-04-04 09:33:39,-1.9536229131530543
2019-04-04 09:33:40,-1.598418747125226
2019-04-04 09:33:41,-1.3077971567388211
2019-04-04 09:33:42,-1.0700158555135808
2019-04-04 09:33:43,-0.875467518147475
2019-04-04 09:33:44,-0.7162916057570249
2019-04-04 09:33:45,-0.5860567683466567
2019-04-04 09:33:46,-0.4795009922836281
2019-04-04 09:33:47,-0.3923189936866048
2019-04-04 09:33:48,-0.32098826756176746
2019-04-04 09:33:49,-0.2626267643687188
2019-04-04 09:33:50,-0.21487644357440625
2019-04-04 09:33:51,-0.17580799928815052
2019-04-04 09:33:52,-0.14384290850848677
2019-04-04 09:33:53,-0.11768965241603462
2019-04-04 09:33:54,-0.09629153379493739
2019-04-04 09:33:55,-0.07878398219585786
2019-04-04 09:33:56,-0.06445962179661097
2019-04-04 09:33:57,-109.14364878147002
2019-04-04 09:33:58,-89.29934900302091
2019-04-04 09:33:59,-73.06310372974437
2019-04-04 09:34:00,-59.77890305160902
2019-04-04 09:34:01,-48.9100115876801
2019-04-04 09:34:02,-58.1991003899201
2019-04-04 09:34:03,-47.617445773570985
2019-04-04 09:34:04,-38.95972836019443
2019-04-04 09:34:05,-31.87614138561362
2019-04-04 09:34:06,-26.08047931550205
2019-04-04 09:34:07,-21.338573985410765
2019-04-04 09:34:08,-17.458833260790623
2019-04-04 09:34:09,-14.284499940646871
2019-04-04 09:34:10,-11.68731813325653
2019-04-04 09:34:11,-9.56235119993716
2019-04-04 09:34:12,-7.823741890857676
2019-04-04 09:34:13,-6.401243365247188
2019-04-04 09:34:14,-5.237380935202244
2019-04-04 09:34:15,-4.285129856074562
2019-04-04 09:34:16,-21.68783351860647
2019-04-04 09:34:17,-17.74459106067802
2019-04-04 09:34:18,-14.518301776918376
2019-04-04 09:34:19,-11.878610544751398
2019-04-04 09:34:20,-9.718863172978415
2019-04-04 09:34:21,-7.951797141527792
2019-04-04 09:34:22,-6.506015843068194
2019-04-04 09:34:23,-5.323103871601249
2019-04-04 09:34:24,-4.3552668040373845
2019-04-04 09:34:25,-3.5634001123942234
2019-04-04 09:34:26,-2.9155091828680004
2019-04-04 09:34:27,-2.3854166041647273
2019-04-04 09:34:28,-1.9517044943165949
2019-04-04 09:34:29,-1.5968491317135776
2019-04-04 09:34:30,144.14803252859807
2019-04-04 09:34:31,117.93929934158021
2019-04-04 09:34:32,96.49579037038379
2019-04-04 09:34:33,78.95110121213219
2019-04-04 09:34:34,64.59635553719906
2019-04-04 09:34:35,52.85156362134468
2019-04-04 09:34:36,43.24218841746382
2019-04-04 09:34:37,35.379972341561306
2019-04-04 09:34:38,28.947250097641064
2019-04-04 09:34:39,23.684113716251776
2019-04-04 09:34:40,19.377911222387812
2019-04-04 09:34:41,15.854654636499117
2019-04-04 09:34:42,12.971990157135638
2019-04-04 09:34:43,10.613446492201884
2019-04-04 09:34:44,8.683728948165177
2019-04-04 09:34:45,7.104869139407871
2019-04-04 09:34:46,5.8130747504246205
2019-04-04 09:34:47,4.756152068529234
2019-04-04 09:34:48,3.891397146978463
2019-04-04 09:34:49,3.183870392982379
2019-04-04 09:34:50,2.6049848669855824
2019-04-04 09:34:51,2.1313512548063853
2019-04-04 09:34:52,1.7438328448415876
2019-04-04 09:34:53,1.4267723275976625
2019-04-04 09:34:54,1.16735917712536
2019-04-04 09:34:55,0.955112054011658
2019-04-04 09:34:56,0.7814553169186292
2019-04-04 09:34:57,0.639372532024333
2019-04-04 09:34:58,0.5231229807471814
2019-04-04 09:34:59,0.4280097115204211
2019-04-04 09:35:00,0.35018976397125356
2019-04-04 09:35:01,0.28651889779466194
2019-04-04 09:35:02,0.234424552741087
2019-04-04 09:35:03,0.19180190678816206
2019-04-04 09:35:04,0.15692883282667802
