h_m_s,ACB
2019-04-04 09:32:05,-90.53661845107578
2019-04-04 09:32:06,-74.07541509619399
2019-04-04 09:32:07,-60.60715780588269
2019-04-04 09:32:08,-49.58767456838641
2019-04-04 09:32:09,-222.38991555676174
2019-04-04 09:32:10,1508.953705460192
2019-04-04 09:32:11,1689.143940831631
2019-04-04 09:32:12,1382.0268606796376
2019-04-04 09:32:13,1130.7492496464488
2019-04-04 09:32:14,925.1584769831051
2019-04-04 09:32:15,666.0387538949038
2019-04-04 09:32:16,544.9407986411458
2019-04-04 09:32:17,445.86065343357154
2019-04-04 09:32:18,364.7950800819507
2019-04-04 09:32:19,298.46870188519057
2019-04-04 09:32:20,244.20166517876433
2019-04-04 09:32:21,199.80136241897029
2019-04-04 09:32:22,636.2011147065808
2019-04-04 09:32:23,-24.926360694802426
2019-04-04 09:32:24,-20.39429511392821
2019-04-04 09:32:25,-16.68624145684965
