h_m_s,RY
2019-04-04 13:09:08,103.50857142857143
2019-04-04 13:09:09,103.50666666666666
2019-04-04 13:09:10,103.50666666666666
2019-04-04 13:09:11,103.50769230769231
2019-04-04 13:09:12,103.50666666666666
2019-04-04 13:09:13,103.512
2019-04-04 13:09:14,103.512
2019-04-04 13:09:15,103.508
2019-04-04 13:09:16,103.508
2019-04-04 13:09:17,103.508
2019-04-04 13:09:18,103.508
2019-04-04 13:09:19,103.50727272727272
2019-04-04 13:09:20,103.50666666666666
2019-04-04 13:09:21,103.50666666666666
2019-04-04 13:09:22,103.50625
2019-04-04 13:09:23,103.50625
2019-04-04 13:09:24,103.51142857142857
2019-04-04 13:09:25,103.50714285714285
2019-04-04 13:09:26,103.50833333333334
2019-04-04 13:09:27,103.50727272727272
2019-04-04 13:09:28,103.50727272727272
2019-04-04 13:09:29,103.50727272727272
2019-04-04 13:09:30,103.50727272727272
2019-04-04 13:09:31,103.508
2019-04-04 13:09:32,103.508
2019-04-04 13:09:33,103.508
2019-04-04 13:09:34,103.508
2019-04-04 13:09:35,103.50909090909092
2019-04-04 13:09:36,103.50909090909092
2019-04-04 13:09:37,103.50909090909092
2019-04-04 13:09:38,103.50909090909092
2019-04-04 13:09:39,103.50909090909092
2019-04-04 13:09:40,103.50909090909092
2019-04-04 13:09:41,103.50909090909092
2019-04-04 13:09:42,103.50909090909092
2019-04-04 13:09:43,103.50909090909092
2019-04-04 13:09:44,103.50909090909092
2019-04-04 13:09:45,103.50909090909092
2019-04-04 13:09:46,103.50909090909092
2019-04-04 13:09:47,103.50909090909092
2019-04-04 13:09:48,103.50909090909092
2019-04-04 13:09:49,103.50909090909092
2019-04-04 13:09:50,103.50833333333334
2019-04-04 13:09:51,103.50833333333334
2019-04-04 13:09:52,103.50833333333334
2019-04-04 13:09:53,103.50833333333334
2019-04-04 13:09:54,103.50833333333334
2019-04-04 13:09:55,103.50833333333334
2019-04-04 13:09:56,103.50833333333334
2019-04-04 13:09:57,103.50833333333334
2019-04-04 13:09:58,103.50833333333334
2019-04-04 13:09:59,103.50923076923077
2019-04-04 13:10:00,103.50923076923077
2019-04-04 13:10:01,103.50923076923077
2019-04-04 13:10:02,103.50923076923077
2019-04-04 13:10:03,103.50923076923077
2019-04-04 13:10:04,103.50923076923077
2019-04-04 13:10:05,103.513
2019-04-04 13:10:06,103.51125
2019-04-04 13:10:07,103.51142857142857
2019-04-04 13:10:08,103.51142857142857
2019-04-04 13:10:09,103.51142857142857
2019-04-04 13:10:10,103.51142857142857
2019-04-04 13:10:11,103.51142857142857
2019-04-04 13:10:12,103.51142857142857
2019-04-04 13:10:13,103.51125
2019-04-04 13:10:14,103.51142857142857
2019-04-04 13:10:15,103.51166666666667
2019-04-04 13:10:16,103.51166666666667
2019-04-04 13:10:17,103.51142857142857
2019-04-04 13:10:18,103.51142857142857
2019-04-04 13:10:19,103.51166666666667
2019-04-04 13:10:20,103.51142857142857
2019-04-04 13:10:21,103.51166666666667
2019-04-04 13:10:22,103.51166666666667
2019-04-04 13:10:23,103.51454545454546
2019-04-04 13:10:24,103.51375
2019-04-04 13:10:25,103.51625
2019-04-04 13:10:26,103.51625
2019-04-04 13:10:27,103.51625
2019-04-04 13:10:28,103.51666666666667
2019-04-04 13:10:29,103.51666666666667
2019-04-04 13:10:30,103.51555555555555
2019-04-04 13:10:31,103.51761904761905
2019-04-04 13:10:32,103.51555555555555
2019-04-04 13:10:33,103.51555555555555
2019-04-04 13:10:34,103.51555555555555
2019-04-04 13:10:35,103.51588235294118
2019-04-04 13:10:36,103.51588235294118
2019-04-04 13:10:37,103.51588235294118
2019-04-04 13:10:38,103.51125
2019-04-04 13:10:39,103.51125
2019-04-04 13:10:40,103.51125
2019-04-04 13:10:41,103.51125
2019-04-04 13:10:42,103.51125
2019-04-04 13:10:43,103.51125
2019-04-04 13:10:44,103.51125
2019-04-04 13:10:45,103.51125
2019-04-04 13:10:46,103.51125
2019-04-04 13:10:47,103.51125
2019-04-04 13:10:48,103.51125
2019-04-04 13:10:49,103.51125
2019-04-04 13:10:50,103.51125
2019-04-04 13:10:51,103.51125
2019-04-04 13:10:52,103.51375
2019-04-04 13:10:53,103.51375
2019-04-04 13:10:54,103.511
2019-04-04 13:10:55,103.511
2019-04-04 13:10:56,103.51181818181819
2019-04-04 13:10:57,103.511
2019-04-04 13:10:58,103.511
2019-04-04 13:10:59,103.511
2019-04-04 13:11:00,103.511
2019-04-04 13:11:01,103.511
2019-04-04 13:11:02,103.511
2019-04-04 13:11:03,103.511
2019-04-04 13:11:04,103.511
2019-04-04 13:11:05,103.511
2019-04-04 13:11:06,103.511
2019-04-04 13:11:07,103.511
2019-04-04 13:11:08,103.511
2019-04-04 13:11:09,103.5125
2019-04-04 13:11:10,103.5125
