h_m_s,WPM
2019-04-04 14:12:57,-4.646114625074006e-06
2019-04-04 14:12:58,-1.5487048750246689e-06
2019-04-04 14:12:59,-5.162349583415563e-07
2019-04-04 14:13:00,-1.7207831944718544e-07
2019-04-04 14:13:01,-5.735943981572848e-08
2019-04-04 14:13:02,-1.9119813271909493e-08
2019-04-04 14:13:03,-6.373271090636497e-09
2019-04-04 14:13:04,-2.1244236968788324e-09
2019-04-04 14:13:05,-7.081412322929441e-10
2019-04-04 14:13:06,-2.360470774309814e-10
2019-04-04 14:13:07,66.66666666658799
2019-04-04 14:13:08,22.222222222195995
2019-04-04 14:13:09,7.407407407398665
2019-04-04 14:13:10,2.4691358024662216
2019-04-04 14:13:11,0.8230452674887405
2019-04-04 14:13:12,0.27434842249624686
2019-04-04 14:13:13,0.09144947416541561
2019-04-04 14:13:14,0.03048315805513854
2019-04-04 14:13:15,0.01016105268504618
2019-04-04 14:13:16,0.00338701756168206
2019-04-04 14:13:17,0.00112900585389402
2019-04-04 14:13:18,0.00037633528463134
2019-04-04 14:13:19,0.00012544509487711332
2019-04-04 14:13:20,4.181503162570444e-05
2019-04-04 14:13:21,1.3938343875234814e-05
2019-04-04 14:13:22,4.646114625078271e-06
2019-04-04 14:13:23,1.5487048750260904e-06
2019-04-04 14:13:24,5.162349583420301e-07
2019-04-04 14:13:25,1.7207831944734336e-07
2019-04-04 14:13:26,5.735943981578112e-08
2019-04-04 14:13:27,1.911981327192704e-08
2019-04-04 14:13:28,6.373271090642346e-09
2019-04-04 14:13:29,2.124423696880782e-09
2019-04-04 14:13:30,7.08141232293594e-10
2019-04-04 14:13:31,2.36047077431198e-10
2019-04-04 14:13:32,7.868235914373267e-11
2019-04-04 14:13:33,2.622745304791089e-11
2019-04-04 14:13:34,8.74248434930363e-12
2019-04-04 14:13:35,2.9141614497678767e-12
2019-04-04 14:13:36,9.713871499226256e-13
2019-04-04 14:13:37,3.2379571664087523e-13
2019-04-04 14:13:38,1.079319055469584e-13
2019-04-04 14:13:39,3.597730184898614e-14
2019-04-04 14:13:40,1.1992433949662046e-14
2019-04-04 14:13:41,3.997477983220682e-15
2019-04-04 14:13:42,1.3324926610735606e-15
2019-04-04 14:13:43,4.441642203578536e-16
2019-04-04 14:13:44,1.4805474011928451e-16
2019-04-04 14:13:45,4.935158003976151e-17
2019-04-04 14:13:46,1.6450526679920502e-17
2019-04-04 14:13:47,5.483508893306834e-18
2019-04-04 14:13:48,1.827836297768945e-18
2019-04-04 14:13:49,6.092787659229816e-19
2019-04-04 14:13:50,2.030929219743272e-19
2019-04-04 14:13:51,6.769764065810906e-20
2019-04-04 14:13:52,2.2565880219369688e-20
2019-04-04 14:13:53,7.52196007312323e-21
2019-04-04 14:13:54,2.50732002437441e-21
2019-04-04 14:13:55,8.357733414581367e-22
2019-04-04 14:13:56,2.785911138193789e-22
2019-04-04 14:13:57,9.286370460645963e-23
2019-04-04 14:13:58,3.095456820215321e-23
2019-04-04 14:13:59,-266.6666666666667
2019-04-04 14:14:00,-88.8888888888889
2019-04-04 14:14:01,-29.629629629629633
2019-04-04 14:14:02,-9.876543209876544
2019-04-04 14:14:03,-3.2921810699588483
2019-04-04 14:14:04,-1.0973936899862828
2019-04-04 14:14:05,-0.3657978966620943
2019-04-04 14:14:06,-0.1219326322206981
2019-04-04 14:14:07,-0.0406442107402327
2019-04-04 14:14:08,-0.013548070246744233
2019-04-04 14:14:09,-0.004516023415581411
2019-04-04 14:14:10,-0.0015053411385271371
2019-04-04 14:14:11,-0.0005017803795090457
2019-04-04 14:14:12,-0.00016726012650301522
2019-04-04 14:14:13,-5.575337550100507e-05
2019-04-04 14:14:14,-1.8584458500335023e-05
2019-04-04 14:14:15,-6.194819500111674e-06
2019-04-04 14:14:16,-2.064939833370558e-06
2019-04-04 14:14:17,-6.883132777901861e-07
2019-04-04 14:14:18,-2.2943775926339534e-07
2019-04-04 14:14:19,-7.647925308779844e-08
2019-04-04 14:14:20,-2.549308436259948e-08
2019-04-04 14:14:21,-8.49769478753316e-09
2019-04-04 14:14:22,-2.8325649291777203e-09
2019-04-04 14:14:23,-9.441883097259068e-10
2019-04-04 14:14:24,-3.1472943657530227e-10
2019-04-04 14:14:25,-1.0490981219176742e-10
