h_m_s,ABX
2019-04-04 13:08:30,0.0006582746080979877
2019-04-04 13:08:31,0.0007469735225667467
2019-04-04 13:08:32,0.0006133683206205886
2019-04-04 13:08:33,0.0
2019-04-04 13:08:34,0.0005886686405891119
2019-04-04 13:08:35,0.0005857029701538584
2019-04-04 13:08:36,0.0006006470312295253
2019-04-04 13:08:37,0.0
2019-04-04 13:08:38,0.0
2019-04-04 13:08:39,0.000602806150547117
2019-04-04 13:08:40,0.0
2019-04-04 13:08:41,0.000512066621155817
2019-04-04 13:08:42,0.0004926002826844867
2019-04-04 13:08:43,0.0
2019-04-04 13:08:44,0.0
2019-04-04 13:08:45,0.0
2019-04-04 13:08:46,0.0
2019-04-04 13:08:47,0.0
2019-04-04 13:08:48,0.0
2019-04-04 13:08:49,0.0
2019-04-04 13:08:50,0.0
2019-04-04 13:08:51,0.0006942688875780919
2019-04-04 13:08:52,0.00037402805800384293
2019-04-04 13:08:53,1.5994782958992405e-06
2019-04-04 13:08:54,2.0194376184968437e-05
2019-04-04 13:08:55,0.0
2019-04-04 13:08:56,-0.0007727257480590181
2019-04-04 13:08:57,-0.0007407112156302073
2019-04-04 13:08:58,-0.0006487492296488155
2019-04-04 13:08:59,-0.0005077185360418909
2019-04-04 13:09:00,-0.0005368602214077513
2019-04-04 13:09:01,-0.0006139111866066224
2019-04-04 13:09:02,-0.0006915292450538705
2019-04-04 13:09:03,0.0
2019-04-04 13:09:04,-0.0006604639255647049
2019-04-04 13:09:05,-0.0006353236753433288
2019-04-04 13:09:06,-0.00061395098420775
2019-04-04 13:09:07,-0.0005937188591927954
2019-04-04 13:09:08,-0.0005933680425739611
2019-04-04 13:09:09,0.0
2019-04-04 13:09:10,-0.000593681086355003
2019-04-04 13:09:11,-0.0006529735349983526
2019-04-04 13:09:12,0.0
2019-04-04 13:09:13,0.0
2019-04-04 13:09:14,-0.00064870294287919
2019-04-04 13:09:15,0.0
2019-04-04 13:09:16,-0.0005879901077180228
2019-04-04 13:09:17,0.0
2019-04-04 13:09:18,-0.000590286287781311
2019-04-04 13:09:19,-0.0004726089897692472
2019-04-04 13:09:20,-0.0006133399325302936
2019-04-04 13:09:21,0.0
2019-04-04 13:09:22,0.0
2019-04-04 13:09:23,0.0
2019-04-04 13:09:24,0.0
2019-04-04 13:09:25,0.0
2019-04-04 13:09:26,0.0
2019-04-04 13:09:27,0.0
2019-04-04 13:09:28,0.0
2019-04-04 13:09:29,0.0
2019-04-04 13:09:30,0.0
2019-04-04 13:09:31,0.0
2019-04-04 13:09:32,0.0
2019-04-04 13:09:33,0.0
2019-04-04 13:09:34,0.0
2019-04-04 13:09:35,-0.0009892323238306063
2019-04-04 13:09:36,-0.0009601535694297011
2019-04-04 13:09:37,-0.0009616942282764391
2019-04-04 13:09:38,0.0
2019-04-04 13:09:39,-0.0009788549941470727
2019-04-04 13:09:40,0.0
2019-04-04 13:09:41,0.0
2019-04-04 13:09:42,0.0
2019-04-04 13:09:43,0.0
2019-04-04 13:09:44,0.0
2019-04-04 13:09:45,0.0
2019-04-04 13:09:46,0.0
2019-04-04 13:09:47,0.0
2019-04-04 13:09:48,-0.0009790079040481446
2019-04-04 13:09:49,0.0
2019-04-04 13:09:50,-0.0009664550778218592
2019-04-04 13:09:51,0.0
2019-04-04 13:09:52,0.0
2019-04-04 13:09:53,-0.0010163017865175345
2019-04-04 13:09:54,-0.001250273456176872
2019-04-04 13:09:55,0.0
2019-04-04 13:09:56,0.0
2019-04-04 13:09:57,0.0
2019-04-04 13:09:58,0.0
2019-04-04 13:09:59,-0.001192324083173723
2019-04-04 13:10:00,-0.0010073709114983497
2019-04-04 13:10:01,-0.0009997596439078975
