h_m_s,ABX
2019-04-04 09:30:51,0.612966368425751
2019-04-04 09:30:52,0.40864424552222095
2019-04-04 09:30:53,0.2724294969726156
2019-04-04 09:30:54,33.51495300484728
2019-04-04 09:30:55,-744.3233647705323
2019-04-04 09:30:56,-1262.8822432279535
2019-04-04 09:30:57,-841.9214954595423
2019-04-04 09:30:58,-461.28099695749967
2019-04-04 09:30:59,-307.5206646341513
2019-04-04 09:31:00,-171.68044308697122
2019-04-04 09:31:01,-114.45362872395576
2019-04-04 09:31:02,-76.3024191489964
2019-04-04 09:31:03,-50.868279432527636
2019-04-04 09:31:04,-167.2455196221019
2019-04-04 09:31:05,-78.16367974785526
2019-04-04 09:31:06,-518.7757864992715
2019-04-04 09:31:07,-112.51719099908331
2019-04-04 09:31:08,24.988539334041715
2019-04-04 09:31:09,16.65902622269055
2019-04-04 09:31:10,11.106017481791955
2019-04-04 09:31:11,740.7373449880141
2019-04-04 09:31:12,493.82489665864165
2019-04-04 09:31:13,329.21659777241246
2019-04-04 09:31:14,652.8110651816284
2019-04-04 09:31:15,435.2073767877433
2019-04-04 09:31:16,290.1382511918249
2019-04-04 09:31:17,160.09216746121425
2019-04-04 09:31:18,106.72811164080886
2019-04-04 09:31:19,71.15207442720562
2019-04-04 09:31:20,47.43471628480363
2019-04-04 09:31:21,31.62314418986903
2019-04-04 09:31:22,21.08209612657933
2019-04-04 09:31:23,14.054730751052876
2019-04-04 09:31:24,9.369820500701913
2019-04-04 09:31:25,6.246547000467941
2019-04-04 09:31:26,4.164364666978627
2019-04-04 09:31:27,2.7762431113190846
2019-04-04 09:31:28,1.8508287408793898
2019-04-04 09:31:29,1.2338858272529265
2019-04-04 09:31:30,234.1559238848353
2019-04-04 09:31:31,156.10394925655686
2019-04-04 09:31:32,104.06929950437124
2019-04-04 09:31:33,269.3795330029142
2019-04-04 09:31:34,179.58635533527612
2019-04-04 09:31:35,119.72423689018409
2019-04-04 09:31:36,79.81615792678939
2019-04-04 09:31:37,53.210771951192925
2019-04-04 09:31:38,35.47384796746195
2019-04-04 09:31:39,23.649231978307967
2019-04-04 09:31:40,15.76615465220531
2019-04-04 09:31:41,10.510769768136873
2019-04-04 09:31:42,7.007179845424582
2019-04-04 09:31:43,4.6714532302830545
2019-04-04 09:31:44,3.1143021535220363
2019-04-04 09:31:45,2.0762014356813574
2019-04-04 09:31:46,1.3841342904542382
2019-04-04 09:31:47,0.9227561936361588
2019-04-04 09:31:48,0.6151707957574392
2019-04-04 09:31:49,0.4101138638382928
2019-04-04 09:31:50,-66.3932574241078
2019-04-04 09:31:51,1055.7378283839282
2019-04-04 09:31:52,703.8252189226188
2019-04-04 09:31:53,2502.5501459484126
2019-04-04 09:31:54,1135.033430632275
2019-04-04 09:31:55,1123.3556204215167
2019-04-04 09:31:56,748.9037469476779
2019-04-04 09:31:57,499.26916463178526
2019-04-04 09:31:58,332.8461097545235
2019-04-04 09:31:59,221.89740650301567
2019-04-04 09:32:00,147.9316043353438
2019-04-04 09:32:01,98.62106955689586
2019-04-04 09:32:02,65.74737970459724
2019-04-04 09:32:03,43.83158646973149
2019-04-04 09:32:04,29.22105764648766
2019-04-04 09:32:05,19.48070509765844
2019-04-04 09:32:06,146.32047006510564
2019-04-04 09:32:07,-35.78635328992957
2019-04-04 09:32:08,-23.857568859953048
2019-04-04 09:32:09,-15.905045906635365
2019-04-04 09:32:10,-10.60336393775691
2019-04-04 09:32:11,-7.06890929183794
2019-04-04 09:32:12,-4.712606194558627
2019-04-04 09:32:13,-3.141737463039085
2019-04-04 09:32:14,-2.0944916420260564
2019-04-04 09:32:15,-1.3963277613507044
2019-04-04 09:32:16,-67.59755184090046
2019-04-04 09:32:17,-45.06503456060031
2019-04-04 09:32:18,-30.04335637373354
2019-04-04 09:32:19,-353.36223758248906
2019-04-04 09:32:20,-235.57482505499271
2019-04-04 09:32:21,-557.0498833699952
2019-04-04 09:32:22,-371.36658891333013
2019-04-04 09:32:23,-280.91105927555344
2019-04-04 09:32:24,-187.27403951703562
2019-04-04 09:32:25,-124.84935967802375
2019-04-04 09:32:26,-83.23290645201583
2019-04-04 09:32:27,-55.488604301343884
