h_m_s,XIU
2019-04-04 11:36:37,-1.8269266084169342
2019-04-04 11:36:38,-1.217951072277956
2019-04-04 11:36:39,-0.8119673815186373
2019-04-04 11:36:40,-0.5413115876790916
2019-04-04 11:36:41,-0.36087439178606107
2019-04-04 11:36:42,-0.24058292785737403
2019-04-04 11:36:43,-0.16038861857158268
2019-04-04 11:36:44,-0.10692574571438845
2019-04-04 11:36:45,-0.07128383047625897
2019-04-04 11:36:46,-0.047522553650839315
2019-04-04 11:36:47,-0.03168170243389288
2019-04-04 11:36:48,-0.021121134955928586
2019-04-04 11:36:49,-0.014080756637285724
2019-04-04 11:36:50,-0.009387171091523816
2019-04-04 11:36:51,-0.006258114061015878
2019-04-04 11:36:52,-0.004172076040677252
2019-04-04 11:36:53,-0.002781384027118168
2019-04-04 11:36:54,-0.0018542560180787786
2019-04-04 11:36:55,-0.0012361706787191856
2019-04-04 11:36:56,-0.0008241137858127904
2019-04-04 11:36:57,-0.0005494091905418602
2019-04-04 11:36:58,-0.0003662727936945735
2019-04-04 11:36:59,-0.000244181862463049
2019-04-04 11:37:00,-0.00016278790830869934
2019-04-04 11:37:01,-0.00010852527220579956
2019-04-04 11:37:02,-7.235018147053304e-05
2019-04-04 11:37:03,-4.82334543136887e-05
2019-04-04 11:37:04,-3.21556362091258e-05
2019-04-04 11:37:05,-2.1437090806083866e-05
2019-04-04 11:37:06,-1.4291393870722578e-05
2019-04-04 11:37:07,-9.527595913815052e-06
2019-04-04 11:37:08,-6.351730609210035e-06
2019-04-04 11:37:09,-4.23448707280669e-06
2019-04-04 11:37:10,-2.8229913818711267e-06
2019-04-04 11:37:11,-1.881994254580751e-06
2019-04-04 11:37:12,-1.2546628363871674e-06
2019-04-04 11:37:13,-8.364418909247783e-07
2019-04-04 11:37:14,-5.576279272831855e-07
2019-04-04 11:37:15,-3.7175195152212367e-07
2019-04-04 11:37:16,-2.4783463434808246e-07
2019-04-04 11:37:17,-1.652230895653883e-07
2019-04-04 11:37:18,-1.1014872637692553e-07
2019-04-04 11:37:19,-7.343248425128369e-08
2019-04-04 11:37:20,-4.8954989500855793e-08
2019-04-04 11:37:21,-3.26366596672372e-08
2019-04-04 11:37:22,-2.1757773111491465e-08
2019-04-04 11:37:23,-1.4505182074327644e-08
2019-04-04 11:37:24,-9.670121382885096e-09
2019-04-04 11:37:25,-6.446747588590064e-09
2019-04-04 11:37:26,-4.297831725726709e-09
2019-04-04 11:37:27,-2.8652211504844728e-09
2019-04-04 11:37:28,-1.9101474336563153e-09
2019-04-04 11:37:29,-1.2734316224375435e-09
2019-04-04 11:37:30,-8.489544149583623e-10
2019-04-04 11:37:31,-5.659696099722416e-10
2019-04-04 11:37:32,-3.773130733148277e-10
2019-04-04 11:37:33,-2.515420488765518e-10
2019-04-04 11:37:34,-1.6769469925103453e-10
2019-04-04 11:37:35,-1.1179646616735635e-10
2019-04-04 11:37:36,-7.453097744490424e-11
2019-04-04 11:37:37,-4.9687318296602826e-11
2019-04-04 11:37:38,-3.312487886440188e-11
2019-04-04 11:37:39,-2.208325257626792e-11
2019-04-04 11:37:40,-1.4722168384178613e-11
2019-04-04 11:37:41,-9.814778922785742e-12
2019-04-04 11:37:42,-6.543185948523828e-12
2019-04-04 11:37:43,-4.362123965682552e-12
2019-04-04 11:37:44,-2.9080826437883677e-12
2019-04-04 11:37:45,-1.9387217625255786e-12
2019-04-04 11:37:46,-1.2924811750170524e-12
2019-04-04 11:37:47,-8.616541166780349e-13
2019-04-04 11:37:48,-5.744360777853566e-13
2019-04-04 11:37:49,-3.8295738519023776e-13
2019-04-04 11:37:50,-2.553049234601585e-13
2019-04-04 11:37:51,-1.7020328230677233e-13
2019-04-04 11:37:52,-1.1346885487118156e-13
2019-04-04 11:37:53,-7.564590324745437e-14
2019-04-04 11:37:54,-5.0430602164969576e-14
2019-04-04 11:37:55,-3.362040144331305e-14
2019-04-04 11:37:56,-2.2413600962208698e-14
2019-04-04 11:37:57,-1.4942400641472466e-14
2019-04-04 11:37:58,-9.961600427648311e-15
2019-04-04 11:37:59,-6.64106695176554e-15
2019-04-04 11:38:00,-533.3333333333334
2019-04-04 11:38:01,-355.5555555555556
2019-04-04 11:38:02,-237.03703703703707
2019-04-04 11:38:03,-158.0246913580247
2019-04-04 11:38:04,-105.34979423868315
2019-04-04 11:38:05,-70.2331961591221
2019-04-04 11:38:06,-46.82213077274807
2019-04-04 11:38:07,-31.214753848498713
2019-04-04 11:38:08,-20.809835898999143
2019-04-04 11:38:09,-13.873223932666095
2019-04-04 11:38:10,-9.24881595511073
2019-04-04 11:38:11,-6.165877303407154
2019-04-04 11:38:12,-4.110584868938102
2019-04-04 11:38:13,-2.7403899126254014
2019-04-04 11:38:14,-1.8269266084169342
2019-04-04 11:38:15,-1.217951072277956
2019-04-04 11:38:16,-0.8119673815186373
2019-04-04 11:38:17,-0.5413115876790916
